Date/Time,BULKSTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BULKSTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Cooling Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Cooling Energy [J](Hourly) 
 12/06  21:00:00,7.2,30.0,15.6,26.7,15.5,30.0,63112727.079257089,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,7615759.691185424,146972217.21918104,146972217.21918104,121878432.777198,0.0,114943347.36964338,0.0,12770749.55586217,0.0,109788357.50496504,0.0 
 12/06  22:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,65695467.597837667,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,10198500.209766,195163107.09603838,195163107.09603838,161491630.8904439,0.0,152482350.40192316,0.0,10681867.885129728,0.0,151998982.72655834,0.0 
 12/06  23:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,63472106.04208763,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,7975138.65401598,154593288.9239126,154593288.9239126,128192160.19380127,0.0,120944769.34755752,0.0,15156689.717891159,0.0,113763218.28367999,0.0 
 12/06  24:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,65838293.700091119,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,10341326.312019458,198334493.28640489,198334493.28640489,164111500.11764015,0.0,154986180.33809565,0.0,11944159.529229593,0.0,153383347.1208822,0.0 
 12/07  01:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,63486811.79581309,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,7989844.407741426,155279438.01517419,155279438.01517419,128745042.13230756,0.0,121507004.53095807,0.0,16288776.972355605,0.0,113208071.96634379,0.0 
 12/07  02:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,65874049.44735411,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,10377082.05928245,199320997.25643964,199320997.25643964,164924927.84320999,0.0,155775552.10512264,0.0,12777293.925420523,0.0,153375340.2389813,0.0 
 12/07  03:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,63554593.71641836,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,8057626.328346702,156891448.24634884,156891448.24634884,130066244.22953898,0.0,122785570.93484017,0.0,17176330.535626234,0.0,113666866.7275576,0.0 
 12/07  04:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,65948534.387421119,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,10451566.999349457,200987256.67918904,200987256.67918904,166299748.0226729,0.0,157090801.48573245,0.0,13429067.566563845,0.0,154113300.91851545,0.0 
 12/07  05:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,63633214.12758638,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,8136246.739514718,158622006.14956788,158622006.14956788,131487884.03974664,0.0,124150615.21704991,0.0,17813118.76499257,0.0,114473743.19157063,0.0 
 12/07  06:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,66015670.29310453,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,10518702.905032875,202426793.55153994,202426793.55153994,167486119.88502715,0.0,158222433.8843175,0.0,13797247.061187175,0.0,154943889.7281621,0.0 
 12/07  07:00:00,7.2,30.0,15.6,26.7,21.0,30.0,95231778.21403359,0.0,0.0,19732408.546916885,32122800.0,3641758.8411547804,39734810.825961928,251041713.18696258,251041713.18696258,216627972.85894496,0.0,197547189.13389347,0.0,74625893.58017713,0.0,162388244.45438937,0.0 
 12/07  08:00:00,7.2,24.0,15.6,26.7,21.0,24.0,142227039.21940337,0.0,0.0,78929634.18766754,5353800.0,18208794.2057739,39734810.825961928,212122506.06529073,212122506.06529073,186998931.3638276,0.0,166798984.55366764,0.0,58976972.567304868,0.0,147288960.88703347,0.0 
 12/07  09:00:00,7.2,24.0,15.6,26.7,21.0,24.0,206995741.3836183,0.0,0.0,138126859.82841818,0.0,29134070.729238243,39734810.825961928,173582143.5023381,173582143.5023381,157312236.45588855,0.0,136519003.6300839,0.0,50237047.58807757,0.0,125748904.9426773,0.0 
 12/07  10:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,133899451.89334324,133899451.89334324,127125762.52903368,0.0,105408712.09491568,0.0,43925364.38199039,0.0,100950296.61359862,0.0 
 12/07  11:00:00,7.2,24.0,15.6,26.7,21.0,24.0,250102317.3186068,0.0,0.0,177591676.9222519,0.0,32775829.57039302,39734810.825961928,101724004.87590242,101724004.87590242,103953125.52918208,0.0,80189383.40463344,0.0,39026163.714853,0.0,80630168.59045308,0.0 
