Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly) 
 01/16  08:00:00,1247306.4601955736,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,14189617.912073106,0.0,0.0,990009.6523200001,2763600.0,5940057.91392,4495950.345818568,0.000014538461538461542,9938966.274726317,8307862.721528244,1631103.553198072,10784855.105320044,0.0,68078.83092968332,6646290.177222595,0.0,0.0,0.0,2980799.883006724,0.0,2756191.3322932089,0.0,3072793.519724815,0.0,2332455.7880164396,0.0 
 01/16  09:00:00,0.0,0.0,0.0,15.600000000000002,26.700000000000008,15.600000000000002,26.700000000000008,15.600000000000002,26.700000000000008,15.600000000000002,26.700000000000008,15.600000000000002,26.700000000000008,11417691.914629111,0.0,0.0,990009.6523200001,0.0,5940057.91392,4487624.348374572,0.000014538461538461542,5801270.965478026,5729270.965478026,72000.0,8777340.080244951,0.0,68078.83092968332,4583416.7723824209,0.0,0.0,0.0,1352785.0163485038,0.0,1445956.6395082833,0.0,3994692.832738039,0.0,2277606.632162155,0.0 
 01/16  10:00:00,1247297.9195974884,0.0,0.0,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,10071948.050901331,0.0,1708.0873420772783,990009.6523200001,0.0,5940057.91392,3140172.397304716,0.000014538461538461542,4289874.22096882,2658781.3433162115,1631092.8776526096,4989134.003272507,0.0,68078.83092968332,2127025.074652969,13175.963552964,0.0,0.0,0.0,0.0,1334764.31069662,13175.963552964,2357852.921420346,0.0,1574580.2398407229,0.0 
 01/16  11:00:00,1247296.4529794567,0.0,0.0,15.599999999999996,26.7,15.599999999999996,26.7,15.599999999999996,26.7,15.599999999999996,26.7,15.599999999999996,26.7,10399382.382112302,0.0,0.0,990009.6523200001,0.0,5940057.91392,3469314.815857765,0.000014538461538461542,3586364.573149333,1955273.5287345509,1631091.0444147823,4776507.8287635589,0.0,68078.83092968332,1564218.8229876408,0.0,0.0,0.0,0.0,0.0,1086288.6444334386,0.0,2514446.469487696,0.0,1432798.524924273,0.0 
 01/16  12:00:00,0.0,0.0,0.0,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,9419924.040212289,0.0,3183.099439180464,990009.6523200001,0.0,5940057.91392,2486673.3745185697,0.000014538461538461542,868560.3020317752,796560.3020317752,72000.0,2920787.10235541,0.0,102118.24639452496,637248.2416254203,23166.093799245704,0.0,0.0,0.0,0.0,813766.2051517656,23166.0937992454,1496289.3774420419,0.0,813866.0335501882,0.0 
 01/16  13:00:00,1247325.72389009,0.0,0.0,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,15.600000000000004,26.700000000000008,8919788.585019373,0.0,7601.368691585776,990009.6523200001,0.0,5940057.91392,1982119.6500732483,0.000014538461538461542,1993235.7851600475,362108.15279977579,1631127.6323602717,2057070.0460376559,0.0,102118.24639452499,289686.5222398206,52867.504465718775,0.0,0.0,0.0,0.0,517399.6378990543,28760.048126572023,964792.0611599453,0.0,789614.4732540785,24107.45633914675 
 01/16  14:00:00,1247274.5424254428,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,6930067.566254539,0.0,0.0,990009.6523200001,0.0,5940057.91392,0.0,0.000014538461538461542,1631063.6567408585,0.0,1631063.6567408585,0.0,0.0,153177.3695917875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/16  15:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,6930067.566254539,0.0,0.0,990009.6523200001,0.0,5940057.91392,0.0,0.000014538461538461542,72000.0,0.0,72000.0,0.0,0.0,102118.24639452499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/16  16:00:00,1247260.632672816,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,6930067.566254539,0.0,0.0,990009.6523200001,0.0,5940057.91392,0.0,0.000014538461538461542,1631046.2698793,0.0,1631046.2698793,0.0,0.0,68078.83092968332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/16  17:00:00,1247291.6785895229,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,9693667.56625454,0.0,0.0,990009.6523200001,2763600.0,5940057.91392,0.0,0.000014538461538461542,1631085.0765403689,0.0,1631085.0765403689,0.0,0.0,68078.83092968332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/16  18:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15220867.566254542,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,0.0,0.000014538461538461542,72000.0,0.0,72000.0,0.0,0.0,68078.83092968332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/16  19:00:00,1247301.8333988607,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15220867.566254542,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,0.0,0.000014538461538461542,1631097.7698116904,0.0,1631097.7698116904,0.0,0.0,68078.83092968332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/16  20:00:00,1247282.7905827233,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15220867.566254542,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,0.0,0.000014538461538461542,1631073.9667422365,0.0,1631073.9667422365,0.0,0.0,68078.83092968332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/16  21:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15220867.566254542,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,0.0,0.000014538461538461542,72000.0,0.0,72000.0,0.0,0.0,68078.83092968332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/16  22:00:00,1247293.475851866,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15220867.566254542,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,0.0,0.000014538461538461542,1631087.323075759,0.0,1631087.323075759,0.0,0.0,119137.95412694587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/16  23:00:00,1247274.297319074,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15220867.566254542,0.0,0.0,990009.6523200001,8290800.0,5940057.91392,0.0,0.000014538461538461542,1631063.3503636986,0.0,1631063.3503636986,0.0,0.0,68078.83092968332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
