Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/24  16:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,321914650.7800679,321914650.7800679,60714568.413757178,2975320.1707193807,255423278.26993335,0.0 
 01/24  17:00:00,363463435.52991738,0.0,0.0,260526206.68848003,16198800.0,29122315.948799999,57616112.89263735,321673669.4084181,321673669.4084181,65054473.272836219,2774215.8433966396,255235219.03149314,0.0 
 01/24  18:00:00,395861035.52991738,0.0,0.0,260526206.68848003,48596400.0,29122315.948799999,57616112.89263734,335295616.2212713,335295616.2212713,78147786.67156188,1733812.3226351785,266043381.7705892,0.0 
 01/24  19:00:00,305783153.7505575,0.0,0.0,173684137.79232,48596400.0,25886503.0656,57616112.89263734,427148930.68559959,427148930.68559959,122033995.08135572,0.0,338874688.36338326,0.0 
 01/24  20:00:00,305783153.7505575,0.0,0.0,173684137.79232,48596400.0,25886503.0656,57616112.89263735,482556404.8764585,482556404.8764585,156076679.44415949,0.0,382820812.8199079,0.0 
 01/24  21:00:00,273599984.56863746,0.0,0.0,144736781.4936,48596400.0,22650690.1824,57616112.89263735,468139860.8322078,468139860.8322078,160136143.04767794,0.0,371379493.64650759,0.0 
 01/24  22:00:00,119650589.26179809,0.0,0.0,57894712.59744,48596400.0,12943251.5328,216225.13155805917,6936745.049753102,6936745.049753102,5740980.199812116,0.0,5549396.039802481,0.0 
 01/24  23:00:00,70763854.99714448,0.0,0.0,14473678.14936,48596400.0,6471625.7664,1222151.0813844866,39755774.14809635,39755774.14809635,32333448.1018163,0.0,31407068.92808985,0.0 
 01/24  24:00:00,72494625.80379537,0.0,0.0,14473678.14936,48596400.0,6471625.7664,2952921.888035377,94130224.17837274,94130224.17837274,77183405.43030104,0.0,74555170.60457507,0.0 
 01/25  01:00:00,73386506.00357375,0.0,0.0,14473678.14936,48596400.0,6471625.7664,3844802.0878137478,122561250.68813531,122561250.68813531,100201434.5349434,0.0,97108189.30818646,0.0 
 01/25  02:00:00,73608749.13867104,0.0,0.0,14473678.14936,48596400.0,6471625.7664,4067045.2229110437,129182996.13336866,129182996.13336866,105960181.11147197,0.0,102399556.74205786,0.0 
 01/25  03:00:00,74208936.96806585,0.0,0.0,14473678.14936,48596400.0,6471625.7664,4667233.052305843,148664288.19313348,148664288.19313348,121462564.17904581,0.0,117820745.08359155,0.0 
 01/25  04:00:00,74725666.49017033,0.0,0.0,14473678.14936,48596400.0,6471625.7664,5183962.57441035,164575254.92945115,164575254.92945115,134872424.71237407,0.0,130478807.2198773,0.0 
 01/25  05:00:00,75818061.90186724,0.0,0.0,14473678.14936,48596400.0,6471625.7664,6276357.9861072539,200103839.21402309,200103839.21402309,163155322.53970117,0.0,158615424.32664655,0.0 
 01/25  06:00:00,76775987.82517646,0.0,0.0,14473678.14936,48596400.0,6471625.7664,7234283.90941646,229785450.89370764,229785450.89370764,187987640.4019876,0.0,182204410.08733175,0.0 
 01/25  07:00:00,127157816.80839738,0.0,0.0,14473678.14936,48596400.0,6471625.7664,57616112.89263735,994160956.4521982,994160956.4521982,538558396.7202449,0.0,788656524.3393645,0.0 
 01/25  08:00:00,136553477.02287738,0.0,0.0,57894712.59744,8099400.0,12943251.5328,57616112.89263734,782298004.0006592,782298004.0006592,378061576.05104026,0.0,620565549.4904339,0.0 
 01/25  09:00:00,225003584.56863735,0.0,0.0,144736781.4936,0.0,22650690.1824,57616112.89263735,683511256.6828699,683511256.6828699,299698543.3256394,0.0,542210505.2854222,0.0 
 01/25  10:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263734,554280630.3060615,554280630.3060615,197298143.7222228,0.0,439729883.58549979,0.0 
 01/25  11:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263734,524674088.9425484,524674088.9425484,169208846.39353467,0.0,416235401.4152684,0.0 
 01/25  12:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263734,495340707.54480728,495340707.54480728,142580438.90857358,0.0,392963224.92582407,0.0 
 01/25  13:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,472311782.3307326,472311782.3307326,129032003.03547116,0.0,374699224.93126216,0.0 
 01/25  14:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,450764960.79678919,450764960.79678919,115326333.23693043,0.0,357613065.9175663,0.0 
 01/25  15:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,421271098.1101887,421271098.1101887,92485071.71302609,465617.1163618506,334214871.0310142,0.0 
 01/25  16:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,407746405.4296042,407746405.4296042,78614495.21614906,1897412.2213927448,323507505.45963248,0.0 
