Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 12/22  17:00:00,383633675.5210949,0.0,0.0,260526206.68848003,40497000.0,29122315.948799999,53488152.88381505,342676642.1701429,342676642.1701429,52146063.26741426,4088650.1019086746,271901784.1480863,0.0 
 12/22  18:00:00,391733075.5210949,0.0,0.0,260526206.68848003,48596400.0,29122315.948799999,53488152.88381505,358694648.2712805,358694648.2712805,63955351.85101114,3136875.428718351,284609952.88276466,0.0 
 12/22  19:00:00,269472024.559815,0.0,0.0,144736781.4936,48596400.0,22650690.1824,53488152.88381505,439509661.4264018,439509661.4264018,124866831.62365872,0.0,348672047.9259895,0.0 
 12/22  20:00:00,205105686.19597508,0.0,0.0,86842068.89616,48596400.0,16179064.416,53488152.88381505,489942042.1703168,489942042.1703168,160096376.57776318,0.0,388654983.245053,0.0 
 12/22  21:00:00,205105686.19597508,0.0,0.0,86842068.89616,48596400.0,16179064.416,53488152.88381505,512787813.1342577,512787813.1342577,174845888.2505405,0.0,406774918.48346456,0.0 
 12/22  22:00:00,140739347.83213506,0.0,0.0,28947356.29872,48596400.0,9707438.649600001,53488152.88381505,554633287.678168,554633287.678168,208013667.51319108,0.0,439946676.285809,0.0 
 12/22  23:00:00,68202181.22349131,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,278383.74933132409,9030214.546753329,9030214.546753329,7382026.728250798,0.0,7163765.511248438,0.0 
 12/22  24:00:00,69947686.46218035,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,2023888.9880203515,65059036.148913878,65059036.148913878,53140584.49426635,0.0,51446271.97825907,0.0 
 12/23  01:00:00,71739399.68498491,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,3815602.2108249149,121448017.70391323,121448017.70391323,99343009.51715267,0.0,96159035.96956089,0.0 
 12/23  02:00:00,73343868.30725524,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,5420070.833095233,171815746.09374113,171815746.09374113,140780907.2985296,0.0,136268640.90886645,0.0 
 12/23  03:00:00,73853480.66186956,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,5929683.1877095489,188764594.8776306,188764594.8776306,153996699.05867274,0.0,149526961.92029805,0.0 
 12/23  04:00:00,75488616.68903366,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,7564819.214873668,239826894.74733413,239826894.74733413,196113293.69970043,0.0,190252954.28337855,0.0 
 12/23  05:00:00,76218881.17472193,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,8295083.700561915,264591029.81754665,264591029.81754665,215135688.13366766,0.0,209623313.44092257,0.0 
 12/23  06:00:00,78716130.16232623,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,10792332.688166243,342784645.15555348,342784645.15555348,279469095.7161609,0.0,271964754.1462553,0.0 
 12/23  07:00:00,79404015.80708744,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,11480218.33292744,367608576.1976295,367608576.1976295,297503893.1642933,0.0,291264798.97908189,0.0 
 12/23  08:00:00,48678028.27205495,0.0,0.0,14473678.14936,16198800.0,4853719.3248000009,13151830.797894955,418444212.2461726,418444212.2461726,340249147.17883118,0.0,332010400.3465579,0.0 
 12/23  09:00:00,92142947.83213502,0.0,0.0,28947356.29872,0.0,9707438.649600001,53488152.88381505,1162179760.4820178,1162179760.4820178,576100543.4653992,0.0,921850999.3456526,0.0 
 12/23  10:00:00,92142947.83213502,0.0,0.0,28947356.29872,0.0,9707438.649600001,53488152.88381505,923979233.0686845,923979233.0686845,404841763.7248607,0.0,732903219.2823927,0.0 
 12/23  11:00:00,188692455.37789507,0.0,0.0,115789425.19488,0.0,19414877.299200003,53488152.88381505,781374320.5730512,781374320.5730512,306622512.7008186,0.0,619785734.4468585,0.0 
