Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 07/19  23:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1631091.4199501558,0.0,1631091.4199501558,0.0,0.0,58243.19624587525,0.0,0.0 
 07/19  24:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1631056.8098218318,0.0,1631056.8098218318,0.0,0.0,58243.19624587525,0.0,0.0 
 07/20  01:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,72000.0,0.0,72000.0,0.0,0.0,58128.059883150956,0.0,0.0 
 07/20  02:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1631021.0062415647,0.0,1631021.0062415647,0.0,0.0,58128.059883150956,0.0,0.0 
 07/20  03:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1631084.724058541,0.0,1631084.724058541,0.0,0.0,58128.05988315095,0.0,0.0 
 07/20  04:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,72000.0,0.0,72000.0,0.0,0.0,58128.059883150956,0.0,0.0 
 07/20  05:00:00,16483521.833294539,0.0,0.0,3584644.614720001,4978800.0,7920077.218560001,0.0,0.000014538461538461542,1631070.9861669515,0.0,1631070.9861669515,0.0,0.0,93004.89581304151,0.0,0.0 
 07/20  06:00:00,37291307.706565808,0.0,10409127.26822214,3584644.614720001,0.0,7920077.218560001,15377458.605049128,0.000014538461538461542,1631063.0394935597,0.0,1631063.0394935597,0.0,8670255.33162481,81379.28383641134,0.0,47704380.0103242 
 07/20  07:00:00,45431040.033541668,0.0,11379570.365757989,10753933.844160002,0.0,7920077.218560001,15377458.605049128,0.000014538461538461542,72000.0,0.0,72000.0,0.0,14166502.103747838,220886.62755597358,0.0,49304046.40864882 
 07/20  08:00:00,86197744.17479755,0.0,20738310.295493865,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631206.448196761,0.0,1631206.448196761,0.0,38535489.141261558,406896.41918205659,0.0,86316600.41536771 
