Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly) 
 01/05  07:00:00,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,36839780.43834367,0.0,0.0,3584644.614720001,9957600.0,7920077.218560001,15377458.60504913,0.000014538461538461542,191869188.82561789,191797188.82561789,72000.0,159710962.57316644,0.0,116923.13931268789,149601807.28398199,0.0,21583133.774248117,0.0,44238752.61405064,0.0,27838942.08889777,0.0,43490325.61538425,0.0,27828111.796448549,0.0 
 01/05  08:00:00,1247351.5693518476,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,37370669.66778367,0.0,0.0,10753933.844160002,3319200.0,7920077.218560001,15377458.605049128,0.000014538461538461542,172655510.4676366,171024350.52906085,1631159.9385757417,107332784.05112803,0.0,317362.80670586708,133398993.41266747,0.0,24290327.938301334,0.0,38408843.44792711,0.0,23579117.504488775,0.0,38320594.63263488,0.0,24177568.494363447,0.0 
 01/05  09:00:00,1247510.2543214458,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,121711683.84428296,120080325.55325109,1631358.2910318825,68124436.7600727,0.0,584615.6965634391,93662653.93153584,0.0,15886685.696409842,0.0,26832196.628861064,0.0,16481353.137533114,0.0,30529501.653984503,0.0,19310375.41979466,0.0 
 01/05  10:00:00,1247436.6931052637,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,94427613.85405003,92796347.51279728,1631266.3412527489,48347481.60255806,0.0,634725.6134117341,72381151.05998189,0.0,12966373.319088966,0.0,18061947.56894733,0.0,12923233.105763676,0.0,26925418.67148754,0.0,16881636.999742375,0.0 
 01/05  11:00:00,1247536.696642089,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,73282194.59002632,71650803.24671948,1631391.3433068325,34695889.088588748,200449.32615717408,651428.9190278323,55887626.53244119,0.0,10727332.420726626,0.0,10525231.476058715,0.0,11623709.744513145,0.0,23712453.20741822,0.0,14676358.288772742,0.0 
 01/05  12:00:00,2495071.937841907,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,58114684.36730389,54923903.49995862,3190780.8673452755,27606474.838551757,4028427.2449236928,785055.3639566184,42840644.72996773,0.0,8743781.867190419,0.0,5097206.522303685,0.0,10560618.189932242,0.0,20980729.73440849,0.0,12835767.02118117,0.0 
 01/05  13:00:00,1247506.2932795289,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,63479414.574663687,0.0,0.0,32261801.53248001,0.0,15840154.437120002,15377458.605049128,0.000014538461538461542,51677063.55614425,50045710.216321017,1631353.3398232386,26141026.70274845,5031762.634014486,952088.420117601,39035653.96873039,0.0,8236993.511599084,0.0,4005011.4380848936,0.0,10620308.513591312,0.0,19696877.255203949,0.0,11853921.855299874,0.0 
 01/05  14:00:00,1247595.4354078386,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65471157.28746416,0.0,11723.408160491394,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,40247437.21808727,38615972.45271353,1631464.765373753,20335403.719551479,7038733.805971496,901978.5032693066,30120458.513116547,90470.65008776116,5750098.355100185,0.0,4005011.438084893,90470.65008776366,9590587.248109298,0.0,16947036.93070468,0.0,9205183.146166007,0.0 
 01/05  15:00:00,1247366.51417879,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,31555351.04854992,29924172.42929422,1631178.619255696,15712014.356215852,6983011.839788368,567912.3909473411,23340854.494849497,0.0,4416132.712277534,0.0,4005011.438084893,0.0,8744333.330051993,0.0,15047511.353503563,0.0,6505324.265980304,0.0 
 01/05  16:00:00,1247396.1166385774,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,29897261.811971215,28266046.19034143,1631215.6216297802,14493528.345888835,5665869.808926693,551209.0853312428,22047516.028466319,0.0,3522038.030304454,0.0,5671102.715484968,0.0,8370405.305175218,0.0,13952327.38618248,0.0,5909101.196368061,0.0 
 01/05  17:00:00,2494982.349886925,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,72097833.87930368,0.0,0.0,32261801.53248001,6638400.0,17820173.74176,15377458.605049128,0.000014538461538461542,39483327.938355918,36292659.05383395,3190668.8845219726,19255653.218042628,4850638.915363717,734945.4471083237,28308274.061990479,0.0,3724084.3247589354,0.0,9721381.856054366,0.0,8806442.505938229,0.0,14305980.262185228,0.0,7127843.718102459,0.0 
 01/05  18:00:00,1247357.3784944432,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,53158378.20186367,0.0,0.0,17923223.073600007,9957600.0,9900096.523200002,15377458.605049128,0.000014538461538461542,63358308.98113059,61727141.7812641,1631167.1998664917,34061812.823008459,766577.5374627006,434285.94601855488,48147170.589386,0.0,8084812.406752313,0.0,15258942.667822984,0.0,11328703.220050663,0.0,18332305.976580889,0.0,10519864.923227737,0.0 
 01/05  19:00:00,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,44009069.66778366,0.0,0.0,10753933.844160002,9957600.0,7920077.218560001,15377458.605049128,0.000014538461538461542,77436504.68368292,77364504.68368292,72000.0,44792588.33380768,0.0,350769.4179380635,60344313.65327267,0.0,10453262.037486677,0.0,18738140.945773156,0.0,12983221.180881964,0.0,20928638.8330499,0.0,12618509.261129583,0.0 
 01/05  20:00:00,1247317.9957465253,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,44009069.66778366,0.0,0.0,10753933.844160002,9957600.0,7920077.218560001,15377458.605049128,0.000014538461538461542,87572837.72776972,85941719.75540599,1631117.9723637303,50441001.00333848,0.0,250549.584241474,67034541.40921667,0.0,11693277.863640599,0.0,20751068.11992549,0.0,13909853.562001553,0.0,22344343.90884372,0.0,13713456.559853096,0.0 
 01/05  21:00:00,1247384.706810128,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,40424425.053063679,0.0,0.0,7169289.229440002,9957600.0,7920077.218560001,15377458.605049128,0.000014538461538461542,96735668.7728252,95104467.41321093,1631201.359614274,56299614.75738923,0.0,283956.19547367058,74181484.58230454,0.0,13087257.917316735,0.0,22760667.61278663,0.0,14937855.741584745,0.0,23967730.087348306,0.0,14805431.82831658,0.0 
 01/05  22:00:00,1247246.0682744194,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,40424425.053063679,0.0,0.0,7169289.229440002,9957600.0,7920077.218560001,15377458.605049128,0.000014538461538461542,103748734.77212027,102117706.70739424,1631028.0647260238,60487408.741756368,0.0,133626.4449287861,79651811.2317675,0.0,14086468.321227909,0.0,24319871.161709526,0.0,15753551.498865828,0.0,25222913.125196868,0.0,15646465.729814846,0.0 
 01/05  23:00:00,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,31016552.2532432,0.0,0.0,3584644.614720001,9957600.0,7920077.218560001,9554230.419948657,0.000014538461538461542,54837712.72584229,54765712.72584229,72000.0,49105958.95739229,0.0,83516.52808049132,42717255.92615698,0.0,0.0,0.0,15621228.169368756,0.0,10322755.347802893,0.0,16077875.89175427,0.0,10249626.937180154,0.0 
 01/05  24:00:00,1247237.3166776228,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,28355663.544069686,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,8685664.018135142,0.000014538461538461542,70989730.29770258,69358713.17226541,1631017.125437166,58667436.97853379,0.0,83516.52808049134,54099796.27436702,0.0,0.0,0.0,18891273.01188933,0.0,12357576.515262764,0.0,19242104.75037302,0.0,12294506.014976908,0.0 
 01/06  01:00:00,1247319.4879004679,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,30527079.548603469,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,10857080.022668928,0.000014538461538461542,115451485.67747136,113820365.83995052,1631119.8375208416,93393469.37378243,0.0,83678.67111645502,88779885.35516143,0.0,0.0,0.0,30135206.92947952,0.0,19564975.58056096,0.0,30446571.978128155,0.0,19490210.889661768,0.0 
 01/06  02:00:00,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,28355663.544069686,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,8685664.018135142,0.000014538461538461542,94094064.07639054,94022064.07639054,72000.0,79361264.78243709,0.0,83678.67111645504,73337209.97958464,0.0,0.0,0.0,24849508.527358187,0.0,16064094.615967498,0.0,25042367.82206978,0.0,16066903.032324842,0.0 
 01/06  03:00:00,1247300.9789084255,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,15.600000000000002,26.700000000000004,30527079.548603469,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,10857080.022668928,0.000014538461538461542,135824118.40166567,134193021.69994679,1631096.7017188713,108290926.88700253,0.0,83678.67111645502,104670556.9259585,0.0,0.0,0.0,35324813.23584706,0.0,22439065.409093538,0.0,35364636.9648934,0.0,22399121.33879369,0.0 
 01/06  04:00:00,1247303.9413986095,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,29138651.070018487,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,9468651.544083946,0.000014538461538461542,110376359.39626827,108745258.99150679,1631100.4047614833,90332347.86285232,0.0,83678.67111645504,84821302.01337531,0.0,1075044.6547512776,0.0,28495531.671154426,0.0,18144853.256284037,0.0,28467047.07923393,0.0,18107476.89603605,0.0 
 01/06  05:00:00,0.0,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,15.600000000000004,26.700000000000004,32093054.600501077,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,12423055.074566538,0.000014538461538461542,156701558.68372417,156629558.68372417,72000.0,126031555.58776848,0.0,83678.67111645502,122171055.77330485,0.0,2471974.9758884424,0.0,40479292.60902321,0.0,25680342.41396314,0.0,40333773.90917035,0.0,25628726.939826825,0.0 
 01/06  06:00:00,1247341.7858229739,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,32105454.666301695,0.0,0.0,3584644.614720001,9957600.0,7920077.218560001,10643132.833007155,0.000014538461538461542,122889536.53860669,121258388.82921048,1631147.7093962127,100648990.39505522,0.0,133885.873786328,94581543.28678419,0.0,3671956.067745446,0.0,31115649.234985435,0.0,19760069.532802106,0.0,30955830.714607896,0.0,19721170.56965076,0.0 
 01/06  07:00:00,1247263.0371845465,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,36839780.43834367,0.0,0.0,3584644.614720001,9957600.0,7920077.218560001,15377458.60504913,0.000014538461538461542,201532726.57328344,199901677.29782138,1631049.2754620515,165967946.19249086,0.0,117150.13956303706,155923308.2923007,0.0,23423803.124147349,0.0,45375781.0317787,0.0,28772239.507299276,0.0,45011682.36757242,0.0,28717260.866549866,0.0 
 01/06  08:00:00,1247383.0816824118,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,37370669.66778367,0.0,0.0,10753933.844160002,3319200.0,7920077.218560001,15377458.605049128,0.000014538461538461542,179515182.06720043,177883982.73895733,1631199.3282430936,112249603.9242324,0.0,317978.9502425291,138749506.5363867,0.0,25721388.207224449,0.0,39449875.41192257,0.0,24384424.884133035,0.0,39643487.07093678,0.0,24927789.567216908,0.0 
 01/06  09:00:00,1247514.4037144725,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,126968638.66988206,125337275.19220712,1631363.4776749553,71727519.38435877,0.0,585750.6978151851,97763074.64992157,0.0,16976873.731746284,0.0,27570150.08013256,0.0,17048664.303547276,0.0,31621706.579376997,0.0,19923138.56016611,0.0 
 01/06  10:00:00,1247459.3847709285,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,101497170.50700757,99865875.80170983,1631294.7052977486,52802942.12800228,0.0,635957.9004850581,77895383.12533365,0.0,14081922.265434364,0.0,19659174.531970279,0.0,13731452.500129499,0.0,28184094.662181967,0.0,17616197.770665949,0.0 
 01/06  11:00:00,1247401.69149072,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,65459433.87930367,0.0,0.0,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,87481169.51154451,85849946.9214815,1631222.5900630097,42911051.79346687,0.0,652693.6347083493,66962958.59875557,0.0,12359278.476326898,0.0,15444218.773130905,0.0,12963294.165135287,0.0,25660831.31568189,0.0,15912794.473528229,0.0 
