Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/09  24:00:00,89836486.20409653,0.0,0.0,20186052.19281932,18291600.0,29481120.0,15222087.243232048,0.009957754815522505,6655626.758087394,31744524.564904654,555203.471928354,12023568.0,19165753.0929763,2577009.837939161,23823652.872528919,14071863.332217895,16890484.589468715,444162.7775426833,0.0 
 06/10  01:00:00,58372278.68582383,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,6387274.621550729,12095568.0,0.0,12023568.0,72000.0,0.0,0.0,0.0,16585378.36436332,0.0,0.0 
 06/10  02:00:00,58430334.38648685,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,6445330.322213755,12095568.0,0.0,12023568.0,72000.0,0.0,0.0,0.0,16871723.823382629,0.0,0.0 
 06/10  03:00:00,58488530.64716627,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,6503526.5828931699,14207823.15846052,0.0,12023568.0,2184255.1584605218,0.0,0.0,0.0,16930168.72427631,0.0,0.0 
 06/10  04:00:00,59168214.581654828,0.0,0.0,6728684.064273106,18291600.0,26964720.0,0.0,0.0,7183210.517381725,12095568.0,0.0,12023568.0,72000.0,0.0,0.0,0.0,19193862.086208024,0.0,0.0 
 06/10  05:00:00,76780879.82829009,0.0,0.0,20186052.19281932,4572900.0,29481120.0,15222087.243232048,0.0,7318720.392238712,32491800.30921852,248603.34636367538,30058920.000000005,2184276.962854842,2492463.5678546188,7031663.65967431,0.0,18899080.098536359,198882.6770909403,0.0 
 06/10  06:00:00,137054829.879422,0.0,3747496.405828624,40372104.38563864,0.0,69928200.0,15222087.243232048,0.007464843660335286,7784941.837257845,75021309.5465272,0.0,60117840.00000001,14903469.546527204,1173955.4479917188,18960310.855951169,10522248.654409038,20105450.838314266,0.0,17378980.38696581 
 06/10  07:00:00,187894905.08516599,0.0,27853226.923574367,40372104.38563864,0.0,96892920.0,15222087.243232048,0.007464537865422285,7554566.525256384,102962842.51202129,0.0,90176760.0,12786082.512021278,0.0,54802976.43561402,10522255.530333016,19242989.705559866,0.0,130299159.7780963 
 06/10  08:00:00,176233770.43734116,0.0,16278246.49096249,40372104.38563864,0.0,96892920.0,15222087.243232048,0.007462039690287696,7468412.310045932,135140274.08978216,0.0,120235680.00000002,14904594.089782132,0.0,60868571.93308677,10522235.990523205,19233382.505552293,0.0,77408870.55622551 
 06/10  09:00:00,134521838.5526668,0.0,1655486.4400596817,40372104.38563864,0.0,69928200.0,15222087.243232048,0.02487464486468169,7343960.4588618059,137248343.2347046,0.0,90176760.0,47071583.23470463,0.0,51839557.331426467,35074193.05137928,19203947.4313369,0.0,8637816.540053513 
