Date/Time,BULKSTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BULKSTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Cooling Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/13  18:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,119312306.81369655,0.0,0.0,34626248.98486037,39448800.0,14567035.364619121,30670222.464217076,1000882834.6696819,1000882834.6696819,806527876.214746,0.0,781420125.7186987,0.0,30605627.166803965,0.0,430897808.8325671,0.0 
 01/13  19:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,82287027.42256037,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,27654385.586452146,976362594.1402397,976362594.1402397,785817848.0396216,0.0,762655641.987896,0.0,45722113.91537572,0.0,372380243.8390574,0.0 
 01/13  20:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,89766696.05277266,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,35134054.21666443,1106073659.6126943,1106073659.6126943,889899902.7514268,0.0,863799237.7841907,0.0,44423638.29855138,0.0,498589664.92353537,0.0 
 01/13  21:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,81880393.8727963,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,27247752.036688076,928675439.4463359,928675439.4463359,748434898.4137442,0.0,725533726.9682275,0.0,48820924.48643988,0.0,363519464.0597361,0.0 
 01/13  22:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,89143871.56297645,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,34511229.72686822,1067990861.9474108,1067990861.9474108,859920741.6242867,0.0,834120246.077675,0.0,45494310.539021749,0.0,487258752.16558727,0.0 
 01/13  23:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,81819089.44463855,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,27186447.608530325,918085022.6868924,918085022.6868924,740180369.5272491,0.0,717314919.422577,0.0,50566331.80397318,0.0,361310491.3388906,0.0 
 01/13  24:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,89106124.18010316,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,34473482.34399491,1065308978.6189605,1065308978.6189605,857831314.9083674,0.0,832056658.2636099,0.0,46677558.59128951,0.0,485795602.5747806,0.0 
 01/14  01:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,82256750.59144534,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,27624108.75533711,941344664.6871457,941344664.6871457,758712801.5718175,0.0,735512000.0700165,0.0,52849046.862443108,0.0,366840364.44425836,0.0 
 01/14  02:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,90317695.61474239,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,35685053.77863414,1123832541.993218,1123832541.993218,904247963.8247157,0.0,877768556.311708,0.0,49335095.27200924,0.0,504171030.0086997,0.0 
 01/14  03:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,81734614.14489924,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,27101972.308791005,892441057.46146,892441057.46146,720055015.5859087,0.0,697349476.1704965,0.0,52108072.3628491,0.0,359128669.662087,0.0 
