Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/14  13:00:00,172748844.53602035,0.0,0.0,57110192.35920001,0.0,105272514.0,3910881.044629366,30200.565946006507,6425056.566244948,33559220.05055394,21946772.05055394,11540448.000000002,72000.0,6325494.625933113,17037827.95487057,4878407.709323993,18701463.335107816,16949935.11249028,0.0 
 01/14  14:00:00,171661114.37445159,0.0,0.0,57110192.35920001,0.0,105272514.0,2706254.9191434287,12609.813354308784,6559543.282753816,31126559.0264315,9206435.64087083,11540448.000000002,10379675.385560669,2271901.495258201,16976072.500895326,2927044.745838121,19508002.255760347,7356315.061933049,0.0 
 01/14  15:00:00,168988369.7196685,0.0,0.0,57110192.35920001,0.0,105272514.0,0.0,0.017376405988792557,6605663.3430920769,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,2927044.740177888,19784414.901351289,0.0,0.0 
 01/14  16:00:00,168945515.59373955,0.0,0.0,57110192.35920001,0.0,105272514.0,0.0,0.01750352760714097,6562809.217035994,21919819.26612011,0.0,11540448.000000002,10379371.266120108,0.0,0.0,2927044.7413168365,19527141.064133545,0.0,0.0 
 01/14  17:00:00,184024817.25168295,0.0,0.0,57110192.35920001,15435000.0,105272514.0,0.0,0.017382731953442099,6207110.875100163,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,2927044.7143566648,17393557.80457183,0.0,0.0 
 01/14  18:00:00,206722761.13834668,0.0,0.0,57110192.35920001,30870000.0,105272514.0,7242496.179858812,29074.156328160665,6198484.442959687,87365008.669308,75752560.669308,11540448.000000002,72000.0,6494206.42209827,21316541.44232009,2927044.75780486,17343005.767262948,59142601.819655898,0.0 
 01/14  19:00:00,210556020.05900157,0.0,0.0,57110192.35920001,30870000.0,105272514.0,11053458.385119815,61943.43656316081,6187911.878118575,164282343.27171058,142362202.59865708,11540448.000000002,10379692.673053468,15216947.952848636,20848164.231543676,2927044.75495511,17281049.13402281,110268491.84158881,0.0 
 01/14  20:00:00,209413389.88183386,0.0,0.0,57110192.35920001,30870000.0,105272514.0,9140170.139359776,73891.41663454069,6946621.966639528,150062001.23034228,138449553.23034228,11540448.000000002,72000.0,23290533.811053996,15197483.686901488,2927044.7588783225,20500411.263029674,104151044.05413051,0.0 
 01/14  21:00:00,213543229.91302545,0.0,0.0,57110192.35920001,30870000.0,105272514.0,13283984.119599224,124128.00610236646,6882411.428123836,260742728.64625664,238822872.83064059,11540448.000000002,10379407.815616025,38556658.380969259,8584300.112602964,2927044.740554708,20202642.88507263,181777314.5208362,0.0 
 01/14  22:00:00,213244195.01908586,0.0,0.0,57110192.35920001,30870000.0,105272514.0,13170210.50803769,361198.9706337096,6460079.181214401,358637287.1898836,347024839.1898836,11540448.000000002,72000.0,100111535.17365343,8309464.176790825,2927044.7600918367,18367404.75492116,238904350.92925117,0.0 
