Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 02/01  10:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,1481782976.2326222,1481782976.2326222,1182002252.812743,0.0,1155790721.4614454,0.0 
 02/01  11:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,1327623694.834961,1327623694.834961,1064568406.4073286,0.0,1035546481.9712696,0.0 
 02/01  12:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,1198244653.3861724,1198244653.3861724,965937007.9810937,0.0,934630829.6412144,0.0 
 02/01  13:00:00,194446105.34972555,0.0,0.0,92336663.95962768,0.0,29134070.729238243,72975370.66085965,1099427304.7220069,1099427304.7220069,890710705.210778,0.0,857553297.6831653,0.0 
 02/01  14:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,1000583726.8666722,1000583726.8666722,814975538.0741232,0.0,780455306.9560044,0.0 
 02/01  15:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,934466882.6729248,934466882.6729248,764321688.4819926,0.0,728884168.4848814,0.0 
 02/01  16:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,883867670.5860595,883867670.5860595,725805113.6542193,0.0,689416783.0571264,0.0 
 02/01  17:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,922027434.0345844,922027434.0345844,754911883.1948397,0.0,719181398.5469759,0.0 
 02/01  18:00:00,119811394.99710672,0.0,0.0,34626248.98486037,39448800.0,14567035.364619121,31169310.647627225,1009278228.2437272,1009278228.2437272,812652388.870503,0.0,787237018.0301073,0.0 
 02/01  19:00:00,85371855.43759988,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30739213.601491646,1132710035.7020765,1132710035.7020765,908958282.7580775,0.0,883513827.8476198,0.0 
 02/01  20:00:00,96727279.29652557,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,42094637.46041732,1440800554.177916,1440800554.177916,1153778461.9604064,0.0,1123824432.2587746,0.0 
 02/01  21:00:00,89766161.42389694,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,35133519.58778869,1366061363.8400424,1366061363.8400424,1094091347.890314,0.0,1065527863.7952331,0.0 
 02/01  22:00:00,100768255.93619445,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,46135614.1000862,1646314407.7378093,1646314407.7378093,1315832655.0007315,0.0,1284125238.0354913,0.0 
 02/01  23:00:00,92183397.80020915,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,37550755.96410092,1498915323.7296458,1498915323.7296458,1199182356.4008339,0.0,1169153952.5091239,0.0 
 02/01  24:00:00,102121505.79207915,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,47488863.95597091,1713297169.9570385,1713297169.9570385,1368561263.7340089,0.0,1336371792.5664898,0.0 
 02/02  01:00:00,92627313.11002995,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,37994671.27392171,1517017495.8517466,1517017495.8517466,1213586353.090681,0.0,1183273646.764362,0.0 
 02/02  02:00:00,102644695.4021383,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,48012053.56603006,1742133273.0771299,1742133273.0771299,1391311031.2620757,0.0,1358863953.0001612,0.0 
 02/02  03:00:00,93477584.2355709,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,38844942.39946266,1569058241.856042,1569058241.856042,1254727913.4635528,0.0,1223865428.6477128,0.0 
 02/02  04:00:00,103618164.3566882,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,48985522.520579967,1797016007.7660773,1797016007.7660773,1434448970.9772635,0.0,1401672486.0575405,0.0 
 02/02  05:00:00,94282122.23933351,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,39649480.40322529,1616951167.1349502,1616951167.1349502,1292555550.9781886,0.0,1261221910.365261,0.0 
 02/02  06:00:00,104530654.43491534,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,49898012.59880709,1847601378.451044,1847601378.451044,1474158771.343773,0.0,1441129075.1918147,0.0 
 02/02  07:00:00,127608012.49696788,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,72975370.66085965,1968581451.8995529,1968581451.8995529,1553881129.4493027,0.0,1535493532.4816514,0.0 
 02/02  08:00:00,137352496.84644739,0.0,0.0,46168331.97981384,0.0,18208794.2057739,72975370.66085965,1815011502.7722254,1815011502.7722254,1438043649.3792239,0.0,1415708972.162336,0.0 
 02/02  09:00:00,182904022.35477213,0.0,0.0,80794580.96467422,0.0,29134070.729238243,72975370.66085965,1619001341.557815,1619001341.557815,1288249810.8639968,0.0,1262821046.4150956,0.0 
 02/02  10:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,1347722635.616643,1347722635.616643,1081906365.5647445,0.0,1051223655.7809818,0.0 
 02/02  11:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,1176573478.6712568,1176573478.6712568,951296815.8583217,0.0,917727313.3635805,0.0 
 02/02  12:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,1026316344.9683246,1026316344.9683246,836719021.1065338,0.0,800526749.0752932,0.0 
 02/02  13:00:00,194446105.34972555,0.0,0.0,92336663.95962768,0.0,29134070.729238243,72975370.66085965,858112697.8614069,858112697.8614069,709293812.8432813,0.0,669327904.3318975,0.0 
 02/02  14:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,722497357.6228415,722497357.6228415,606154547.9196682,0.0,563547938.9458163,0.0 
 02/02  15:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,658961735.8518051,658961735.8518051,557889385.0622316,0.0,513990153.9644081,0.0 
 02/02  16:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,637468446.9446892,637468446.9446892,541492934.7639589,0.0,497225388.61685767,0.0 
 02/02  17:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,675915542.6658225,675915542.6658225,570390960.178391,0.0,527214123.27934166,0.0 
 02/02  18:00:00,113956913.32660203,0.0,0.0,34626248.98486037,39448800.0,14567035.364619121,25314828.977122517,698525431.1530496,698525431.1530496,566104468.5024021,0.0,544849836.2993788,0.0 
 02/02  19:00:00,78163815.022607,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,23531173.18649877,706358757.8819472,706358757.8819472,570921309.0394417,0.0,550959831.1479188,0.0 
 02/02  20:00:00,85264297.48213676,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30631655.64602852,862334862.2309251,862334862.2309251,695477064.2084074,0.0,672621192.5401216,0.0 
 02/02  21:00:00,79075753.72871432,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,24443111.892606088,733323029.0426443,733323029.0426443,592489156.2994247,0.0,571991962.6532626,0.0 
 02/02  22:00:00,84808941.52517094,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30176299.689062708,828989655.3658868,828989655.3658868,669121863.2440934,0.0,646611931.1853917,0.0 
 02/02  23:00:00,78601825.4926394,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,23969183.65653117,700222447.0165017,700222447.0165017,566369734.2651566,0.0,546173508.6728712,0.0 
 02/02  24:00:00,84634408.61701124,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30001766.780902994,818410107.4257884,818410107.4257884,660758336.6182332,0.0,638359883.7921151,0.0 
 02/03  01:00:00,78959966.23723176,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,24327324.40112354,717507054.9255087,717507054.9255087,580085779.4599348,0.0,559655502.8418969,0.0 
 02/03  02:00:00,85043341.27527511,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30410699.439166875,834414052.536032,834414052.536032,673342665.5127509,0.0,650842960.9781051,0.0 
 02/03  03:00:00,78839553.32984032,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,24206911.493732085,705591903.0384952,705591903.0384952,570686444.0803605,0.0,550361684.3700262,0.0 
 02/03  04:00:00,84805059.83483778,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30172417.998729543,822019892.841103,822019892.841103,663560734.8275756,0.0,641175516.4160603,0.0 
 02/03  05:00:00,79114353.98777789,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,24481712.15166965,720775083.8816853,720775083.8816853,582714526.3825489,0.0,562204565.4277145,0.0 
 02/03  06:00:00,85507185.39989493,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,30874543.563786694,854196881.0718751,854196881.0718751,688952199.2701744,0.0,666273567.2360627,0.0 
 02/03  07:00:00,127608012.49696788,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,72975370.66085965,914647241.4623731,914647241.4623731,753852080.8903746,0.0,713424848.3406512,0.0 
 02/03  08:00:00,137352496.84644739,0.0,0.0,46168331.97981384,0.0,18208794.2057739,72975370.66085965,831899544.5876455,831899544.5876455,691269944.8789619,0.0,648881644.7783635,0.0 
 02/03  09:00:00,182904022.35477213,0.0,0.0,80794580.96467422,0.0,29134070.729238243,72975370.66085965,790693486.8278434,790693486.8278434,658638686.3820909,0.0,616740919.7257179,0.0 
 02/03  10:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,758362374.3107969,758362374.3107969,633057887.6112822,0.0,591522651.9624217,0.0 
 02/03  11:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,738634787.0080127,738634787.0080127,617669447.3254835,0.0,576135133.8662499,0.0 
 02/03  12:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,691856176.0772022,691856176.0772022,581689328.8197764,0.0,539647817.3402178,0.0 
 02/03  13:00:00,194446105.34972555,0.0,0.0,92336663.95962768,0.0,29134070.729238243,72975370.66085965,683333272.2427926,683333272.2427926,574907255.3925374,0.0,532999952.34937819,0.0 
 02/03  14:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,661057028.2953975,661057028.2953975,557674770.5314907,0.0,515624482.07041,0.0 
 02/03  15:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,647000872.3312374,647000872.3312374,547057111.4074856,0.0,504660680.4183652,0.0 
 02/03  16:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,629765581.9756316,629765581.9756316,534195230.78433606,0.0,491217153.9409927,0.0 
 02/03  17:00:00,209629947.1858338,0.0,0.0,103878746.95458116,0.0,32775829.57039302,72975370.66085965,602401763.00153,602401763.00153,513764893.6691035,0.0,469873375.1411934,0.0 
 02/03  18:00:00,112216399.96001393,0.0,0.0,34626248.98486037,39448800.0,14567035.364619121,23574315.610534423,602336374.6403359,602336374.6403359,489879910.51233449,0.0,469822372.2194621,0.0 
 02/03  19:00:00,76501327.73599282,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,21868685.899884579,601311095.6505045,601311095.6505045,487791749.34452387,0.0,469022654.6073935,0.0 
 02/03  20:00:00,82785979.5527333,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,28153337.716625059,732393746.21763,732393746.21763,592875296.7930111,0.0,571267122.0497514,0.0 
 02/03  21:00:00,77241617.41234017,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,22608975.57623192,628581589.7169753,628581589.7169753,509560376.7831597,0.0,490293639.9792408,0.0 
 02/03  22:00:00,83113198.82606238,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,28480556.989954138,746879733.5857027,746879733.5857027,604257216.6787135,0.0,582566192.1968479,0.0 
 02/03  23:00:00,77575200.969472,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,22942559.133363777,641658976.7295601,641658976.7295601,519983324.02189317,0.0,500494001.8490569,0.0 
 02/03  24:00:00,83450966.25305408,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,28818324.416945846,759216321.494369,759216321.494369,613994684.1256414,0.0,592188730.7656078,0.0 
 02/04  01:00:00,78033325.06421574,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,23400683.22810749,667172821.2729466,667172821.2729466,540198189.9729976,0.0,520394800.59289839,0.0 
 02/04  02:00:00,84276352.54988703,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,29643710.713778788,800297231.9701218,800297231.9701218,646403478.0992189,0.0,624231840.936695,0.0 
 02/04  03:00:00,78510784.17308529,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,23878142.336977047,689790665.4925009,689790665.4925009,558135724.3555231,0.0,538036719.0841508,0.0 
 02/04  04:00:00,84447840.3891029,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,29815198.552994674,807114344.8259375,807114344.8259375,651758795.5835496,0.0,629549188.9642313,0.0 
 02/04  05:00:00,78581759.47535728,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,23949117.63924905,693551610.1124297,693551610.1124297,561104933.1256094,0.0,540970255.8876952,0.0 
 02/04  06:00:00,84526767.80249138,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,29894125.966383134,810959549.4077706,810959549.4077706,654758579.5060135,0.0,632548448.5380612,0.0 
 02/04  07:00:00,78693778.84713726,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,24061137.011029025,697987274.2195768,697987274.2195768,564629908.5279127,0.0,544430073.8912699,0.0 
 02/04  08:00:00,88159212.49696788,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,72975370.66085965,927696062.5108932,927696062.5108932,761363498.968886,0.0,723602928.7584967,0.0 
 02/04  09:00:00,91800971.33812265,0.0,0.0,11542082.99495346,0.0,7283517.6823095609,72975370.66085965,835066310.8679732,835066310.8679732,693708899.7303456,0.0,651351722.4770193,0.0 
 02/04  10:00:00,115243405.21336708,0.0,0.0,27700999.187888303,0.0,14567035.364619121,72975370.66085965,765386044.5690944,765386044.5690944,639940232.7153099,0.0,597001114.7638936,0.0 
 02/04  11:00:00,115243405.21336708,0.0,0.0,27700999.187888303,0.0,14567035.364619121,72975370.66085965,721631448.6740369,721631448.6740369,606233087.987382,0.0,562872529.9657487,0.0 
 02/04  12:00:00,115243405.21336708,0.0,0.0,27700999.187888303,0.0,14567035.364619121,72975370.66085965,684533729.9247949,684533729.9247949,577790536.3791338,0.0,533936309.3413401,0.0 
 02/04  13:00:00,88159212.49696788,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,72975370.66085965,678826738.4811169,678826738.4811169,573708364.2822923,0.0,529484856.0152712,0.0 
 02/04  14:00:00,88159212.49696788,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,72975370.66085965,691485680.9005277,691485680.9005277,583099990.6187782,0.0,539358831.1024116,0.0 
 02/04  15:00:00,88159212.49696788,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,72975370.66085965,744330548.0260203,744330548.0260203,622887900.805345,0.0,580577827.4602958,0.0 
 02/04  16:00:00,88159212.49696788,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,72975370.66085965,821936172.1878495,821936172.1878495,681560205.6157312,0.0,641110214.3065225,0.0 
 02/04  17:00:00,43161075.715279009,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,27977233.87917076,829058944.75559,829058944.75559,669640967.4844576,0.0,646665976.9093602,0.0 
 02/04  18:00:00,80900054.11656954,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,26267412.280461287,851824669.235884,851824669.235884,686285944.339906,0.0,664423242.0039896,0.0 
 02/04  19:00:00,89665994.47325316,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,35033352.637144919,1070594722.7801294,1070594722.7801294,860784823.9464982,0.0,835063883.768501,0.0 
