Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 04/23  05:00:00,65901615.27392699,226449.4068993887,0.0,13347692.9325,35982000.0,8616830.08824,7728642.846287605,187431315.95054386,187431315.95054386,153848378.22423459,0.0,147384835.97522987,0.0 
 04/23  06:00:00,101055801.44413543,5724129.802727209,0.0,13347692.9325,0.0,8616830.08824,73367148.62066823,852400648.350417,852400648.350417,475384994.05254456,0.0,673662049.6239699,0.0 
 04/23  07:00:00,147742255.1388353,3750674.6116871,0.0,53390771.73,0.0,17233660.17648,73367148.62066823,585958401.485719,585958401.485719,293937935.3853645,0.0,462849833.3644743,0.0 
 04/23  08:00:00,239578375.23768906,2575391.9831808509,0.0,133476929.325,0.0,30158905.30883999,73367148.62066823,431073785.82873269,431073785.82873269,200934646.21441788,0.0,340257172.843176,0.0 
 04/23  09:00:00,354021272.55391988,1619915.7511717154,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,270647257.6595981,270647257.6595981,99917139.14891269,0.0,213610352.63265864,0.0 
 04/23  10:00:00,353328315.98006996,926959.1773217399,0.0,240258472.78500004,0.0,38775735.39708,73367148.62066823,205605085.13105858,205605085.13105858,61711426.8457233,0.0,161911634.06143768,0.0 
 04/23  11:00:00,352554295.12073549,165397.9634633956,0.0,240258472.78500004,0.0,38775735.39708,73354688.9751921,139458001.27927918,139458001.27927918,31307716.12880688,10824996.833832417,109257988.31858188,0.0 
 04/23  12:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,76729421.5882908,76729421.5882908,21870681.522460805,32161218.328050823,59944385.59503964,0.0 
 04/23  13:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,21208228.03415449,21208228.03415449,15307063.835893423,53868917.96566144,16544501.438199053,0.0 
 04/23  14:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,8213947.461629089,8213947.461629089,10158515.884572367,70557154.15251422,6406879.02007069,0.0 
 04/23  15:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,2119344.2636251349,2119344.2636251349,6339681.338630762,89956184.9042376,1653088.5256276048,0.0 
 04/23  16:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,9646.666330196469,9646.666330196469,3039827.99935278,97271151.86033833,7524.399737553245,0.0 
 04/23  17:00:00,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,0.0,0.0,2666282.1799182479,91134885.5242068,0.0,0.0 
 04/23  18:00:00,267969405.22719977,0.0,0.0,160172315.18999998,0.0,34467320.35296,73329769.68423987,3400507.9292432016,3400507.9292432016,6456033.877076703,70526131.65756212,2652396.184809697,0.0 
 04/23  19:00:00,285960405.2271998,0.0,0.0,160172315.18999998,17991000.0,34467320.35296,73329769.68423987,12695261.821243022,12695261.821243022,9775470.548635323,49199672.18743453,9920829.363190739,0.0 
 04/23  20:00:00,273186392.7819556,207639.35018544168,0.0,133476929.325,35982000.0,30158905.30883999,73360918.79793017,72150371.06912247,72150371.06912247,16562239.18046784,29517219.403579538,56648094.57579985,0.0 
