Date/Time,BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly) 
 11/14  02:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,60623264.63940379,0.0,0.0,13347692.9325,35982000.0,8616830.08824,2676741.6186637927,84863242.6808084,84863242.6808084,68945339.51137246,0.0,66930255.36432563,0.0,38986372.37490423,0.0,0.0,0.0,12225729.33315819,0.0,18394895.274925896,0.0 
 11/14  03:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,62318412.27339668,0.0,0.0,13347692.9325,35982000.0,8616830.08824,4371889.252656689,112431821.8098885,112431821.8098885,92061273.27847943,0.0,88451348.91587538,0.0,29839336.857115449,0.0,31632046.744187915,0.0,17098013.239554764,0.0,14253841.327673119,0.0 
 11/14  04:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,62945554.43360806,0.0,0.0,13347692.9325,35982000.0,8616830.08824,4999031.412868068,130006000.81049702,130006000.81049702,106247781.7995657,0.0,102188562.9476968,0.0,40621632.30751001,0.0,33995224.59435816,0.0,13099243.211976644,0.0,19471494.246718904,0.0 
 11/14  05:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,62526034.33421445,3353.0824837878069,0.0,13347692.9325,35982000.0,8616830.08824,4576158.2309906729,116595357.96616578,116595357.96616578,95480517.57321102,0.0,91730044.35674943,0.0,30310192.195755319,0.0,33460737.209962887,0.0,17832273.473064536,0.0,14673481.370972593,0.0 
 11/14  06:00:00,15.6,30.0,15.6,30.0,15.6,90.0,15.6,30.0,15.6,30.0,63599710.528539817,59412.65605033618,0.0,13347692.9325,35982000.0,8616830.08824,5593774.851749483,140817444.91834647,140817444.91834647,115342097.24829515,0.0,110697535.89929334,0.0,40915983.519549828,0.0,42017080.93981717,0.0,13408746.63708947,0.0,19852708.062106924,0.0 
 11/14  07:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,124922303.25416008,5602631.6127518699,0.0,13347692.9325,23988000.0,8616830.08824,73367148.62066823,832767973.5225934,832767973.5225934,464401557.3841768,0.0,658141057.3342242,0.0,126106389.3180303,0.0,468940256.4312326,0.0,66021588.39881466,0.0,64799961.25763351,0.0 
 11/14  08:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,147258163.9855088,3266583.458360594,0.0,53390771.73,0.0,17233660.17648,73367148.62066823,606002004.522804,606002004.522804,292677932.1134693,0.0,477974607.1084967,0.0,95201735.4582693,0.0,360132358.27967956,0.0,44766225.00563285,0.0,47937474.5907845,0.0 
 11/14  09:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,238364230.1148126,1361246.8603044295,0.0,133476929.325,0.0,30158905.30883999,73367148.62066823,465660433.7376547,465660433.7376547,200046256.22743616,0.0,365930013.2479354,0.0,79790950.44612587,0.0,292317168.0328591,0.0,30406295.27469229,0.0,35384122.318184059,0.0 
 11/14  10:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,352421747.5543641,45310.04256814514,0.0,240258472.78500004,0.0,38775735.39708,73342229.32971598,308216469.3077154,308216469.3077154,98363462.24463964,320934.79515966467,241170012.87583075,0.0,64969370.9153256,0.0,209205535.96992523,0.0,17115488.559406837,0.0,23164077.07283935,0.0 
 11/14  11:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,352363977.86631986,0.0,0.0,240258472.78500004,0.0,38775735.39708,73329769.68423987,223303109.69304825,223303109.69304825,59144635.349486287,5815478.287289511,174476771.63172556,0.0,55400132.30588479,0.0,168747271.46169655,0.0,8564072.857437972,0.0,15095064.690944195,0.0 
