Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 10/02  13:00:00,640912039.2064165,1530711.003984158,121710501.83985366,272643148.0655114,0.0,229176847.66968299,15820446.288561002,30384.338823529408,8083054.507511122,0.0,8083054.507511122,58880599.15351606,340209243.61244878,6576535.837671116,1530711.003984158,419253803.9718205 
 10/02  14:00:00,621581805.06587,0.0,117166953.99927324,272643148.0655114,0.0,216461331.18616648,15279987.476095582,30384.338823529408,8077625.50390691,0.0,8077625.50390691,56191312.07880838,339360424.1872363,4140781.82371885,0.0,400661791.0758074 
 10/02  15:00:00,608786470.4743662,0.0,105769206.39179775,272643148.0655114,0.0,216461331.18616648,13882400.49206722,30384.338823529408,4074567.449455764,0.0,4074567.449455764,54709705.61864595,315019957.86296716,4018994.123021237,0.0,360165039.12972477 
 10/02  16:00:00,608021232.8471258,0.0,94996033.8536617,272643148.0655114,0.0,226864935.58177094,13486731.007358469,30384.338823529408,8080292.819523971,0.0,8080292.819523971,50679140.602920729,303783896.20128509,5358658.830694983,0.0,322092675.93257936 
 10/02  17:00:00,540977749.6314886,269169.5370810957,88871162.52185042,212055781.82873113,0.0,226061237.00064618,13690014.404356009,30384.338823529408,8075328.748231058,0.0,8075328.748231058,30333457.90306697,298863949.23088559,3166480.218137945,269169.5370810957,303230206.9503482 
 10/02  18:00:00,422267862.8410213,13225821.91146188,72310108.91774234,151468415.59195087,42741600.0,129665444.23400118,12826087.84704159,30384.33882352941,4072761.94335043,0.0,4072761.94335043,10935366.60783696,252681172.9834063,2557541.7146498777,13225821.91146188,257866785.9211258 
 10/02  19:00:00,432319195.4883108,23469452.29411436,59994659.534027639,151468415.59195087,64112400.0,120417795.88235286,12826087.84704159,30384.338823529408,72000.0,0.0,72000.0,11995669.080764378,235651615.74868394,1826815.5104641985,23469452.29411436,221612515.8508103 
 10/02  20:00:00,363524254.8635376,35794646.128603059,58760886.59596759,90881049.35517045,64112400.0,101118800.5979314,12826087.84704159,30384.338823529408,4072480.6683971409,0.0,4072480.6683971409,1828045.3966235175,219802235.18543957,2070390.911859425,35794646.128603059,218890671.2654461 
 10/02  21:00:00,364677591.9085567,42794095.6029181,57538598.342495869,90881049.35517045,64112400.0,96494976.4221072,12826087.84704159,30384.338823529408,4071058.9558869234,0.0,4071058.9558869234,3593145.5346849069,208175089.89735703,974301.6055809057,42794095.6029181,213129638.39974094 
 10/02  22:00:00,171632448.59489949,0.0,0.0,30293683.11839016,64112400.0,77195981.13768575,0.0,30384.33882352941,72000.0,0.0,72000.0,10097894.372796718,0.0,608938.5034880661,0.0,0.0 
 10/02  23:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,4070620.8676931636,0.0,4070620.8676931636,7068526.060957702,0.0,608938.5034880661,0.0,0.0 
 10/02  24:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,608938.5034880661,0.0,0.0 
 10/03  01:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,4070683.00253554,0.0,4070683.00253554,6058736.62367803,0.0,610846.4320597965,0.0,0.0 
 10/03  02:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,610846.4320597965,0.0,0.0 
 10/03  03:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,610846.4320597965,0.0,0.0 
 10/03  04:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,4070717.132992701,0.0,4070717.132992701,6058736.62367803,0.0,610846.4320597965,0.0,0.0 
 10/03  05:00:00,171632448.59489949,0.0,0.0,30293683.11839016,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,11107683.81007639,0.0,977354.2912956746,0.0,0.0 
 10/03  06:00:00,317838260.1008713,99844175.67411393,44220947.984816309,30293683.11839016,53427000.0,77195981.13768575,12826087.84704159,30384.33882352941,4070937.864390659,0.0,4070937.864390659,15470350.37607425,150188590.2014295,855185.0048837152,99844175.67411393,164691877.8194124 
 10/03  07:00:00,358135986.53447547,87580018.17224677,49164004.14504571,90881049.35517045,0.0,117654442.67614728,12826087.84704159,30384.338823529408,4072563.9899155956,0.0,4072563.9899155956,15994597.273143426,153787740.4460688,2321216.441827227,87580018.17224677,183255454.34675343 
 10/03  08:00:00,622750272.4128342,29581016.28760851,53873994.20017186,272643148.0655114,0.0,253451924.59275989,13169804.927958982,30384.33882352941,4074929.830478478,0.0,4074929.830478478,67841251.32882013,239292649.6898264,4275925.024418576,29581016.28760851,200904136.88426987 
 10/03  09:00:00,576965165.4935827,16579027.973483552,51489449.81882018,272643148.0655114,0.0,223397067.4499028,12826087.84704159,30384.338823529408,8078682.463513164,0.0,8078682.463513164,64825535.0119756,251875721.45280016,4642432.883654454,16579027.973483552,190964931.14327199 
