Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),DINING:Zone Thermostat Heating Setpoint Temperature [C](Hourly),DINING:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC_1:1:Air System Total Heating Energy [J](Hourly),PSZ-AC_1:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC_2:2:Air System Total Heating Energy [J](Hourly),PSZ-AC_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/02  12:00:00,11574822.705033195,21.0,24.0,19.0,26.0,0.0,0.0,96330293.89641917,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.007020062419054621,10026081.617884458,248072587.82426787,87678873.40327703,145853460.00000004,14540254.420990782,0.0,46379984.52173783,11609804.721392863,17893857.035161735,68956384.17532312,0.0,51183925.26357834,0.0,25637428.01733594,0.0 
 01/02  13:00:00,11568602.520277124,21.0,24.0,19.0,26.0,0.0,0.0,93003236.40197765,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.0062430109485062169,6699024.124219986,223448563.4694291,79268564.13216014,129647519.99999999,14532479.337269,0.0,53492146.45347552,10319831.175476503,18368771.177330097,62396484.45394934,0.0,44618365.13830835,0.0,25643088.421232314,0.0 
 01/02  14:00:00,9911447.477499906,21.0,24.0,19.0,26.0,0.0,0.0,92258753.42535082,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.005462486474333648,5954541.148373694,216017901.15320579,90115246.39680374,113441580.0,12461074.756402042,0.0,52046631.37029053,9029850.572470475,15545761.256155704,70939577.02786258,0.0,49854241.412571419,0.0,28950304.720882406,0.0 
 01/02  15:00:00,8256749.152141511,21.0,24.0,19.0,26.0,0.0,0.0,74250091.04727222,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.004681329549064016,5945878.771076234,197414695.4463138,111394234.43215233,75627720.0,10392741.014161455,0.0,41016291.66408442,7739877.445737831,15626040.195652178,87648671.46642505,0.0,62103985.01151236,0.0,33409655.56050402,0.0 
 01/02  16:00:00,8257694.5918859359,21.0,24.0,19.0,26.0,0.0,0.0,74202961.63052878,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.004681744989978016,5898749.354332385,195828196.92116604,115208534.12970132,70225740.0,10393922.79146471,0.0,34473820.82179518,7739872.128940014,15300629.486649305,90635706.23679514,0.0,64615779.53060686,0.0,33884895.811779189,0.0 
 01/02  17:00:00,8256929.6901401509,21.0,24.0,19.0,26.0,0.0,0.0,80754557.08378543,0.0,0.0,13362043.1603184,6828300.0,47077200.0,7864969.111196254,0.004682475918599917,5622044.807588304,202688280.0132241,111265613.33083743,81029700.0,10392966.682386663,0.0,34600763.905415568,7739868.464333475,13563149.051039009,87529861.18035743,0.0,62724607.80712418,0.0,32670222.478824475,0.0 
 01/02  18:00:00,11569038.629215468,21.0,24.0,19.0,26.0,0.0,0.0,101032733.16898357,0.0,0.0,13362043.1603184,9104400.0,65077200.0,7864969.111196254,0.006241281481472274,5624120.891227622,210577529.7966654,104210845.33354557,91833660.00000002,14533024.463119828,0.0,45300611.43534173,10319841.008276236,13678079.49409876,81998815.77302145,0.0,58326617.17772196,0.0,31537167.700890989,0.0 
 01/02  19:00:00,14892169.850061125,21.0,24.0,19.0,26.0,0.0,0.0,101049086.31921038,0.0,0.0,13362043.1603184,9104400.0,65077200.0,7864969.111196254,0.008583646539203556,5640474.039112063,210356430.62429518,99835910.78911168,91833660.00000002,18686859.8351835,0.0,47063128.65528987,14189784.147297014,13744054.11411654,78559929.07222702,0.0,55945240.72236624,0.0,30479657.45545171,0.0 
 01/02  20:00:00,16554996.571052278,21.0,24.0,19.0,26.0,0.0,0.0,101591423.67973277,0.0,0.0,13362043.1603184,9104400.0,65077200.0,7864969.111196254,0.009364690153096295,6182811.398853436,205659804.17948363,93060790.29990661,91833660.00000002,20765353.879576979,0.0,47496736.305659119,15479761.588209682,15967855.570416689,73216370.45014969,0.0,52960267.72018449,0.0,28121071.835556229,0.0 
 01/02  21:00:00,13229187.931257254,21.0,24.0,19.0,26.0,0.0,0.0,83562085.07570611,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.007800931504829161,6153472.796390528,190991927.18234319,93354055.38514573,81029700.0,16608171.797197456,0.0,42957811.91682909,12899807.243453904,15736446.473818684,73435676.69303544,0.0,53557194.90710051,0.0,27743450.891525724,0.0 
 01/02  22:00:00,14893401.801840894,21.0,24.0,19.0,26.0,0.0,0.0,83344602.18136557,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.008583301352247343,5935989.9012676109,185156796.7958578,90840677.05010818,75627720.0,18688399.745749594,0.0,41321941.56094706,14189787.428002397,14721613.704076149,71448917.51165496,0.0,52623398.927768398,0.0,26690487.689478186,0.0 
 01/02  23:00:00,11572172.219199369,21.0,24.0,19.0,26.0,0.0,0.0,82930347.53802909,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.007025652122874086,5521735.259488791,186019872.97917945,106659171.60274759,64823759.99999999,14536941.376431892,0.0,36752453.96100225,11609813.82344278,13119287.322338237,83917418.97475749,0.0,59888871.90911834,0.0,31893516.17123013,0.0 
 01/02  24:00:00,8253380.847084337,21.0,24.0,19.0,26.0,0.0,0.0,87208883.63033237,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.003899391649659923,9800271.354918313,144132579.30897177,122940088.59640859,10803960.0,10388530.712563184,0.0,29343502.73368346,6449903.312898715,16712277.137364865,96784828.49978119,0.0,66024510.635417509,0.0,38625286.96995362,0.0 
 01/03  01:00:00,4949250.468252301,21.0,24.0,19.0,26.0,0.0,0.0,49474859.50520189,0.0,0.0,6681021.5801592,9104400.0,20077200.0,7864969.111196254,0.0031237369451060424,5747268.810722693,162850030.08517809,145787624.14188565,10803960.0,6258445.9432924599,459983.2640720913,11752955.233475328,5169124.565712126,15297218.329763042,114817496.3385222,0.0,75593573.94340247,0.0,47088891.50071099,0.0 
 01/03  02:00:00,1647624.5039523587,15.6,30.0,15.6,30.0,0.0,0.0,34183160.27489308,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,4851753.081506685,12935451.63291077,0.0,10803960.0,2131491.6329107687,0.0,0.0,0.0,12375914.02360404,0.0,0.0,0.0,0.0,0.0,0.0 
 01/03  03:00:00,0.0,15.6,30.0,15.6,30.0,0.0,0.0,34288185.48301172,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,4956778.289625328,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,12916588.055667863,0.0,0.0,0.0,0.0,0.0,0.0 
