Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/22  21:00:00,84321125.37135747,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.008164745695182769,6912513.091678074,92233346.85438095,0.0,75627720.0,16605626.854380941,0.0,47024882.61935072,11207810.467304167,17347859.88810099,0.0,0.0 
 06/22  22:00:00,83807968.42157066,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.006679851797208812,6399356.143376153,77378715.69989541,92262.42558782666,64823759.99999999,12462693.274307589,0.0,46318851.8621732,9170023.980144404,15358939.909043652,71964.69195850479,0.0 
 06/22  23:00:00,87813939.40739618,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.0037093364633432404,10405327.132172198,18347212.79527423,1282847.9891052647,10803960.0,6260404.806168968,0.0,44775854.77054928,5094424.6954397889,18492649.310286128,1000621.4315021066,0.0 
 06/22  24:00:00,50196977.03641893,0.0,0.0,6681021.5801592,9104400.0,20077200.0,7864969.111196254,0.002969010516592526,6469386.342094469,32864910.122585235,15803906.339593502,10803960.0,6257043.782991729,0.0,32388357.763429554,4075568.3511546889,16594987.262631506,12327046.944882933,0.0 
 06/23  01:00:00,34931373.75522801,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,5599966.561841615,12935352.212006193,0.0,10803960.0,2131392.2120061938,0.0,0.0,0.0,14170131.387906354,0.0,0.0 
 06/23  02:00:00,35033899.59377656,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,5702492.400390165,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,14913767.353036628,0.0,0.0 
 06/23  03:00:00,35046172.73060849,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,5714765.537222096,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,15129412.161872993,0.0,0.0 
 06/23  04:00:00,37403504.93997164,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,8072097.746585244,12935373.569501557,0.0,10803960.0,2131413.5695015548,0.0,0.0,0.0,25302454.90619762,0.0,0.0 
 06/23  05:00:00,44814972.804497938,0.0,0.0,6681021.5801592,2276100.0,20077200.0,7864969.111196254,0.0,7915682.11314248,52271736.38313462,35993796.38313463,16205939.999999999,72000.0,0.0,31705062.057332606,0.0,23421000.262748425,28130109.196800256,0.0 
 06/23  06:00:00,93581503.60419514,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.0022238252346659817,7277291.330456661,77308195.42171762,22434640.867373438,48617819.99999999,6255734.554344189,0.0,43658821.94745864,3048353.2920219909,19711398.55558203,17499019.876551279,0.0 
 06/23  07:00:00,92666931.71240804,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.008903721680137532,6362719.431989653,102239550.42909889,12073872.780354195,75627720.0,14537957.648744693,0.0,50826372.12394293,12193437.831457949,15957106.84136175,9417620.768676274,0.0 
 06/23  08:00:00,74729231.15195485,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.008155546658783762,6425018.872284636,81003712.81859863,10379959.998611788,54019800.0,16603952.819986845,0.0,46221179.75369166,11177319.259756938,16064264.960852268,8096368.798917195,0.0 
 06/23  09:00:00,74839273.52671102,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.006675482267660798,6535061.248520868,73432549.49856024,6949249.317105758,54019800.0,12463500.181454484,0.0,42255664.86312099,9145064.246055376,16400731.535896074,5420414.467342491,0.0 
 06/23  10:00:00,92934230.16795796,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.0059328362221264699,6630017.890510464,129695601.99076313,455068.17300006948,118843560.0,10396973.817763053,0.0,43125300.707045268,8128954.84033208,16635212.35799255,354953.1749400542,0.0 
 06/23  11:00:00,97003037.9921701,0.0,4961.518186712884,13362043.1603184,0.0,65077200.0,7864969.111196254,0.006675557804841316,10693864.195793178,158318857.2192596,0.0,145853460.00000004,12465397.219259553,0.0,45924405.13277887,9145070.241350398,19821256.77135276,0.0,21407.573883446155 
 06/23  12:00:00,93981819.53522966,0.0,7534.497117189547,13362043.1603184,0.0,65077200.0,7864969.111196254,0.005934417028036678,7670072.760663394,140043973.09150545,0.0,129647519.99999999,10396453.091505468,0.0,50196209.61724939,8128949.428161949,20669597.944560674,0.0,33101.79786060996 
 06/23  13:00:00,93203236.53560549,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.005192039176881631,6899024.258898808,123832244.61865434,0.0,113441580.0,10390664.61865435,0.0,49035174.1354325,7112821.323018514,17847958.14208829,0.0,0.0 
 06/23  14:00:00,75206429.38273084,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.004449654697669425,6902217.106766546,84068881.47656189,115745.97466450125,75627720.0,8325415.501897391,0.0,42710577.99302321,6096709.955183292,17809826.7507635,90281.86023831099,0.0 
 06/23  15:00:00,75115356.87480688,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.004451574986426784,6811144.598840669,78551690.72741919,0.0,70225740.0,8325950.727419177,0.0,39719893.450577,6096711.913334251,17273461.991872118,0.0,0.0 
 06/23  16:00:00,74780085.17006319,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.004449982244216758,6475872.894098542,91417007.08919919,0.0,81029700.0,10387307.089199182,0.0,41144886.07340034,6096691.854799809,15377253.81212756,0.0,0.0 
 06/23  17:00:00,92804182.36621967,0.0,19353.006566343945,13362043.1603184,0.0,65077200.0,7864969.111196254,0.005932891013104855,6480617.082205785,102229030.13059467,0.0,91833660.00000002,10395370.130594656,0.0,46879343.563489068,8128946.4241045149,15471442.87726676,0.0,81505.82812099348 
 06/23  18:00:00,92826688.53243216,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.008159454243410766,6522476.252758041,106372864.69164604,0.0,91833660.00000002,14539204.69164602,0.0,47837489.88723672,11177294.692314946,15714349.988201388,0.0,0.0 
 06/23  19:00:00,92840660.0816338,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.008898405576547189,6536447.801220732,108444004.677809,0.0,91833660.00000002,16610344.67780899,0.0,47820110.97607291,12193356.24781179,15794913.070640183,0.0,0.0 
 06/23  20:00:00,81575899.4240416,0.0,0.0,13362043.1603184,6828300.0,47077200.0,7864969.111196254,0.007419686559314783,6443387.145107256,95623486.01866159,60765.7539107269,81029700.0,14533020.264750872,0.0,47351754.06972663,10161173.88662476,15450076.397061546,47397.28805036698,0.0 
 06/23  21:00:00,83608189.99841315,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.008156744973632799,6199577.71874175,90165487.33241093,0.0,75627720.0,14537767.332410928,0.0,48356650.50137668,11177297.158806615,14481242.39290427,0.0,0.0 
 06/23  22:00:00,83559603.6695725,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.006676117183614204,6150991.391381734,79736963.30177707,2449753.4602875045,64823759.99999999,12463449.841489565,0.0,45326491.061532769,9145080.523901206,14244820.685162759,1910807.6990242536,0.0 
 06/23  23:00:00,87668635.68633981,0.0,0.0,13362043.1603184,9104400.0,47077200.0,7864969.111196254,0.003711993014686122,10260023.411113166,24021779.009161917,6960711.815109272,10803960.0,6257107.194052642,0.0,40150794.72193222,5080566.730699237,17660174.95802439,5429355.215785231,0.0 
 06/23  24:00:00,50070255.73369116,0.0,0.0,6681021.5801592,9104400.0,20077200.0,7864969.111196254,0.002965443775093837,6342665.039370262,38402106.49088916,21341187.139636268,10803960.0,6256959.351252892,0.0,28676764.292351035,4064462.8897743688,15952830.974117987,16646125.96891629,0.0 
 06/24  01:00:00,34801146.11838059,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,5469738.924994187,12935456.052386187,0.0,10803960.0,2131496.052386185,0.0,0.0,0.0,13459706.057690248,0.0,0.0 
 06/24  02:00:00,34922998.01316334,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,5591590.819776939,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,14257729.62009206,0.0,0.0 
 06/24  03:00:00,34950035.052146118,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,5618627.8587597119,12935384.262747406,0.0,10803960.0,2131424.262747406,0.0,0.0,0.0,14559826.05305855,0.0,0.0 
 06/24  04:00:00,35459024.153431568,0.0,0.0,2227007.1933864,9104400.0,18000000.0,0.0,0.0,6127616.960045168,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,16931978.511094188,0.0,0.0 
 06/24  05:00:00,42916060.48771409,0.0,0.0,6681021.5801592,2276100.0,20077200.0,7864969.111196254,0.0,6016769.796358632,63862981.811786178,45525596.26278789,16205939.999999999,2131445.5489982806,0.0,26507531.59980335,0.0,15317778.693618186,35670592.444079358,0.0 
 06/24  06:00:00,92804669.61758827,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.0022207932991798169,6500457.343852811,73197338.66948894,20384766.024873869,48617819.99999999,4194752.644615084,0.0,39668640.45077034,3040146.101706278,16204406.474877589,15900117.499401616,0.0 
 06/24  07:00:00,92894721.5740099,0.0,0.0,13362043.1603184,0.0,65077200.0,7864969.111196254,0.0022224818025448984,6590509.30027275,81464117.13263102,1641357.0541316444,75627720.0,4195040.078499374,0.0,41599047.81497581,3040146.6807799597,16428980.342026756,1280258.5022226829,0.0 
 06/24  08:00:00,75088154.03177797,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.0022246049953333938,6783941.75803871,58214901.49448157,0.0,54019800.0,4195101.494481573,0.0,33789164.29037404,3040146.7153443188,16963042.043034559,0.0,0.0 
 06/24  09:00:00,75287006.74328323,0.0,0.0,13362043.1603184,0.0,47077200.0,7864969.111196254,0.007411679949530174,6982794.464356897,68555611.30591963,0.0,54019800.0,14535811.305919633,0.0,29180964.940583849,10133805.184858777,17638302.837132336,0.0,0.0 
