Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),DINING:Zone Thermostat Heating Setpoint Temperature [C](Hourly),DINING:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),KITCHEN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC_1:1:Air System Total Heating Energy [J](Hourly),PSZ-AC_1:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC_2:2:Air System Total Heating Energy [J](Hourly),PSZ-AC_2:2:Air System Total Cooling Energy [J](Hourly) 
 09/22  24:00:00,3298563.7723128239,21.0,24.0,19.0,26.0,58422905.54408461,0.0,0.0,12027720.822196469,10666800.0,20077200.0,9322216.98862597,0.002940186611609763,6328967.730321976,53581278.10929112,38582191.466415408,10803960.0,4195126.642875709,0.0,18596548.88527446,3915368.0413770007,16249894.188731745,30094109.34380402,0.0,32973580.405635105,0.0,6442745.921189854,0.0 
 09/23  01:00:00,1647666.2509975823,15.600000000000002,30.0,15.600000000000002,30.0,38094013.4616571,0.0,0.0,4009240.274065489,10666800.0,18000000.0,0.0,0.0,5417973.187591612,12935503.815729203,0.0,10803960.0,2131543.8157292029,0.0,0.0,0.0,13272631.616850213,0.0,0.0,0.0,0.0,0.0,0.0 
 09/23  02:00:00,0.0,15.6,30.0,15.6,30.0,38084476.41532561,0.0,0.0,4009240.274065489,10666800.0,18000000.0,0.0,0.0,5408436.141260121,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,13312075.631395916,0.0,0.0,0.0,0.0,0.0,0.0 
 09/23  03:00:00,1647534.272899549,15.6,30.0,15.6,30.0,38029532.57633896,0.0,0.0,4009240.274065489,10666800.0,18000000.0,0.0,0.0,5353492.30227348,12935338.846230403,0.0,10803960.0,2131378.846230403,0.0,0.0,0.0,13125037.169349242,0.0,0.0,0.0,0.0,0.0,0.0 
 09/23  04:00:00,0.0,15.6,30.0,15.6,30.0,38492695.48244634,0.0,0.0,4009240.274065489,10666800.0,18000000.0,0.0,0.0,5816655.208380855,10875960.0,0.0,10803960.0,72000.0,0.0,0.0,0.0,15148291.689283636,0.0,0.0,0.0,0.0,0.0,0.0 
 09/23  05:00:00,1647551.3705761389,21.0,24.0,19.0,26.0,58102311.007879998,0.0,0.0,12027720.822196469,10666800.0,20077200.0,9322216.98862597,0.0,6008373.19705755,81906946.54258448,63569606.32466303,16205939.999999999,2131400.2179214616,1589018.0858715024,10626433.25537917,0.0,15188867.729135301,49584292.93323716,0.0,41369773.65727247,0.0,17536736.258986266,0.0 
 09/23  06:00:00,3297875.8242458954,21.0,24.0,19.0,26.0,110285937.8723475,0.0,0.0,24055441.644392939,5333400.0,65077200.0,9322216.98862597,0.0022055096334193575,6497679.237123099,88631345.79750441,35819259.07342957,48617819.99999999,4194266.7240748426,0.0,30541794.00176528,2942927.0839432685,16449539.96767332,27939022.077275069,0.0,30994192.79650201,0.0,6267046.263793951,0.0 
 09/23  07:00:00,3297761.8995209105,21.0,24.0,19.0,26.0,104893610.5663786,0.0,0.0,24055441.644392939,0.0,65077200.0,9322216.98862597,0.0022077072343242114,6438751.9311520089,94621545.53142728,14799701.210562224,75627720.0,4194124.3208650539,0.0,39553596.09202412,2942921.174252106,16108984.54061329,11543766.944238535,0.0,17446014.94661883,0.0,3419968.9806404605,0.0 
 09/23  08:00:00,3297646.759991353,21.0,24.0,19.0,26.0,87131284.87303142,0.0,32211.556170942255,24055441.644392939,0.0,47077200.0,9322216.98862597,0.00220605943633258,6644214.681635531,60507217.946063999,2293437.5468856946,54019800.0,4193980.399178304,0.0,33172347.198931107,2942932.7488448445,16469694.055134429,1788881.286570842,147258.0200726157,7691129.28895107,147258.0200726157,3419968.9806404605,0.0 
 09/23  09:00:00,11567139.603331365,21.0,24.0,19.0,26.0,87473109.22962465,0.0,115672.20333300374,24055441.644392939,0.0,47077200.0,9322216.98862597,0.007355615106862848,6902578.385917133,68550450.72571206,0.0,54019800.0,14530650.725712058,0.0,26931989.972235748,9809765.130373463,17226336.989684464,0.0,525285.3554606946,5902248.002380316,525285.3554606946,3419968.9806404665,0.0 
