Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 10/31  18:00:00,3205275939.631707,0.0,0.0,1345699630.8410807,221742000.0,1076559704.672864,439999120.8791207,120498881.29917348,776601.939468361,0.0,787828842.3088993,756326334.6330106,31502507.6758886,0.0,33091593.169420527,2369251298.2165567,24388403.8811347,553998332.3700535,0.0 
 10/31  19:00:00,3117471456.9918668,0.0,0.0,1345699630.8410807,221742000.0,1076559704.672864,351999296.7032966,120498881.29917348,971943.4754514952,0.0,964711723.2036866,941122020.9229428,23589702.280743828,0.0,46272159.047009598,2198444445.3317425,17420301.479321366,695657564.6262269,0.0 
 10/31  20:00:00,2400212272.4773919,0.0,0.0,807419778.5046485,221742000.0,897133087.2273873,351999296.7032966,120498881.29917348,1419228.7428871515,0.0,1359757878.0606852,1336148702.941804,23609175.118881164,0.0,119778135.52871232,1917356638.2418984,19743011.045680055,983178912.6294897,0.0 
 10/31  21:00:00,2312407036.685975,0.0,0.0,807419778.5046485,221742000.0,897133087.2273873,263999472.52747248,120498881.29917348,1613817.1272941435,0.0,1493910771.3163517,1486018961.9457687,7891809.370582865,0.0,187916771.64147077,1828235988.063807,9290829.401657165,1113572908.1057006,0.0 
 10/31  22:00:00,1384596516.416102,0.0,0.0,269139926.16821607,221742000.0,717706469.7819098,175999648.3516483,0.0,8472.114327852905,0.0,15693790.498658926,0.0,15693790.498658926,0.0,0.0,0.0,5806769.711729956,0.0,0.0 
 10/31  23:00:00,1162026728.2066503,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,87999824.17582415,0.0,8471.164808076714,0.0,7882778.462218096,0.0,7882778.462218096,0.0,0.0,0.0,5806769.247593786,0.0,0.0 
 10/31  24:00:00,1118026816.4991194,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8471.545189515458,0.0,7883079.074603205,0.0,7883079.074603205,0.0,0.0,0.0,5806769.310045598,0.0,0.0 
 11/01  01:00:00,1118026828.1850053,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8483.231075243068,0.0,7882347.995776721,0.0,7882347.995776721,0.0,0.0,0.0,5828358.097456959,0.0,0.0 
 11/01  02:00:00,1118026824.8817867,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8479.927856695487,0.0,7882673.559368826,0.0,7882673.559368826,0.0,0.0,0.0,5828358.053961402,0.0,0.0 
 11/01  03:00:00,1118026825.2333208,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8480.279390819454,0.0,7882996.568066543,0.0,7882996.568066543,0.0,0.0,0.0,5828358.12311198,0.0,0.0 
 11/01  04:00:00,1162026738.2028313,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,87999824.17582415,0.0,8481.160989383094,0.0,7883318.811467461,0.0,7883318.811467461,0.0,0.0,0.0,5828358.151893633,0.0,0.0 
 11/01  05:00:00,1384601611.8406516,0.0,0.0,269139926.16821607,221742000.0,717706469.7819098,175999648.3516483,0.0,13567.538877407715,0.0,7891622.213852333,0.0,7891622.213852333,0.0,0.0,0.0,9325371.428621199,0.0,0.0 
 11/01  06:00:00,2440225822.649077,0.0,390623378.1856879,269139926.16821607,221742000.0,717706469.7819098,351999296.7032966,120586578.9902957,226005049.63605757,142423123.18361367,1537884045.949849,1522177839.5370608,15706206.412788183,3203527726.4271838,161151739.69402085,1733468809.7471476,8159701.189989831,1156572795.8903642,1731824233.7443476 
 11/01  07:00:00,2952039982.4570438,0.0,405936874.110606,807419778.5046485,73914000.0,717706469.7819098,439999120.8791207,120498881.29917348,222230484.97741545,164334372.9041696,1360995806.3778909,1329517342.895761,31478463.482129866,3230400922.774936,81138385.7642501,1763871322.6695109,22147742.01486916,1033911068.1643322,1580259953.8174062 
 11/01  08:00:00,5389370125.262975,0.0,404965293.7864612,2422259335.513945,0.0,1614839557.0092962,439999120.8791207,120498881.29917348,222473563.87080986,164334372.9041696,654702224.4644457,607240079.6126412,47462144.85180437,3229757472.763286,34194935.959610659,2387270867.948727,40798504.58104246,495644487.5301112,1623211452.9413243 
 11/01  09:00:00,5258137506.664323,0.0,406456714.99865278,2422259335.513945,0.0,1614839557.0092962,307999384.6153846,120498881.29917348,221749260.32370193,164334372.9041696,489210050.9351737,433774022.52021846,55436028.414955157,3230742680.996681,28424747.10042861,2586794820.9167888,44295521.9736988,348155841.8659548,1597943745.2541559 
 11/01  10:00:00,5083281811.73858,0.0,406796717.30525496,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,120498881.29917348,222553211.4430051,164334372.9041696,419356423.13387027,357444809.21934506,61911613.91452517,3230965590.388052,24808585.650682555,2680969479.2471249,45461190.70506381,286458966.614535,1636062743.759408 
 11/01  11:00:00,5089893817.80485,0.0,411271173.2477629,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,120498881.29917348,224690761.56676684,164334372.9041696,367795857.11604878,302764753.97914108,65031103.13690775,3233893368.95371,21411848.931858608,2752729159.80551,54786529.5201606,244261179.13836897,1730615476.4339536 
 11/01  12:00:00,4920553535.473983,0.0,417799201.004127,2422259335.513945,0.0,1435412939.5638197,131999736.26373624,120498881.29917348,228249068.92501349,164334372.9041696,413418401.14318987,325705096.0718006,87713305.07138936,3238497467.857628,17416923.07348931,2724136306.774455,66443023.10663564,258103347.94175218,1881679100.2974973 
 11/01  13:00:00,5089888974.547705,0.0,411865727.1917563,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,120498881.29917348,224091364.36562944,164334372.9041696,329896860.00030139,250233514.5032724,79663345.49702898,3234383932.666883,17639661.170042796,2833547105.136295,62945994.88088927,201675327.45438669,1704680869.9786297 
 11/01  14:00:00,5075222006.662472,0.0,401996013.9371691,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,120498881.29917348,219294109.7349834,164334372.9041696,279180854.9301876,231734117.41235308,47446737.51783457,3227812180.8272554,17217161.16694993,2871338581.119832,39632838.435630168,186328910.41381494,1502613405.1924535 
 11/01  15:00:00,5075100064.265514,0.0,401879328.7170335,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,120498881.29917348,219288852.55816124,164334372.9041696,277434539.14121726,229993511.25264163,47441027.88857565,3227735257.129033,16261219.403032696,2892635815.443285,38467164.19761402,183517867.13623283,1502613405.1924535 
 11/01  16:00:00,5231772887.704477,0.0,385826514.04841759,2422259335.513945,0.0,1614839557.0092962,307999384.6153846,120498881.29917348,216014842.31409253,164334372.9041696,324946576.7263583,253519959.13096405,71426617.59539429,3138799470.4599125,16487370.549125936,2889688128.1636297,51289533.384274948,199256650.52982358,1364551738.294088 
 11/01  17:00:00,4726248603.238682,0.0,391070385.0729289,1883979483.1775125,73914000.0,1435412939.5638197,439999120.8791207,120498881.29917348,217039420.34195838,164334372.9041696,396242345.81041899,356810442.5358854,39431903.27453352,3179994077.5090448,15152788.753783767,2775069124.2281396,30307402.98538568,270561867.1973816,1404194086.7942043 
 11/01  18:00:00,3989326193.3874027,0.0,400952864.35189858,1345699630.8410807,221742000.0,1076559704.672864,439999120.8791207,120498881.29917348,219539618.43909575,164334372.9041696,557492124.0821589,525993693.06023588,31498431.021923085,3227122995.657886,13113986.737858398,2584524346.2543275,24479059.990151679,391367197.2136893,1502174702.0796254 
 11/01  19:00:00,3881097571.4576036,0.0,384189747.2662083,1345699630.8410807,221742000.0,1076559704.672864,351999296.7032966,120498881.29917348,216073937.7708107,164334372.9041696,605618160.7291473,589863495.0459133,15754665.683233962,3127363572.315904,14073112.526124243,2508789243.405345,17485053.242498187,443503072.3259232,1357291658.9476 
