Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 03/14  03:00:00,243340287.03085075,0.0,0.0,85725350.6868,37868400.0,105272514.0,8363925.160871005,79178.37510317312,6030918.808076581,101142867.88257836,89530419.88257836,11540448.000000002,72000.0,27141011.012534497,28280877.91164529,4892387.2167652,16748510.644099106,71331631.79910136,0.0 
 03/14  04:00:00,252989238.79387949,0.0,0.0,85725350.6868,37868400.0,105272514.0,14101308.87801826,169609.65287888505,9852055.5761823,202998535.80443717,180807168.24758489,11540448.000000002,10650919.556852306,46014620.72513675,29866916.694992715,4892387.34940927,33042391.20294594,139376743.44848437,0.0 
 03/14  05:00:00,253005995.79642836,0.0,0.0,85725350.6868,37868400.0,105272514.0,14731966.219459339,189826.5295790975,9217938.360589907,258680038.65334986,236488716.31352157,11540448.000000002,10650874.339828287,58088128.1530574,15227062.324412333,4892387.352209748,30310693.30440006,179808590.1958757,0.0 
 03/14  06:00:00,275188606.03580418,0.0,12421.764183078483,85725350.6868,37868400.0,107346114.0,26694679.506363565,9888162.19530781,7653477.883149698,2328370948.4518029,2316758500.4518029,11540448.000000002,72000.0,791121628.2371584,35406380.169546958,4892387.344895346,23450623.187491664,1597714208.1051295,105079.4362010704 
 03/14  07:00:00,585396528.0206353,0.0,6217.746438056283,435154064.4,6311400.0,107346114.0,26694679.506363565,2885288.415273227,6998763.952560321,1522206782.9656893,1489403822.3588274,11540448.000000002,21262512.606861775,323782837.24567189,40323331.524526778,9784771.556446128,18267754.982078658,1124829668.8105932,56002.221826755296 
 03/14  08:00:00,740767978.6381456,0.0,25638.24011099766,435154064.4,0.0,270330255.0,26694679.506363565,1369807.7874832908,7193533.70418755,1038069137.7969786,908742707.8441712,86553360.0,42773069.95280749,31816097.51636959,141000580.6962222,33268166.5816729,19337088.26379891,670499741.3378258,209639.8506380087 
 03/14  09:00:00,740524275.8055853,0.0,11045.414093226393,435154064.4,0.0,270330255.0,26694679.506363565,913817.2405486368,7420414.244579755,855126519.9744252,693143146.371336,86553360.0,75430013.60308942,11041671.711630322,187931802.2300184,58708646.52489053,20236520.737027795,519216480.578838,81949.83737932192 
 03/14  10:00:00,754769865.1983925,0.0,6245.3378853124199,435154064.4,0.0,284728041.0,26694679.506363565,646794.4246011862,7540040.529542324,748813343.8539655,557895752.635552,115404480.0,75513111.21841352,1609400.2196828428,218749656.7455963,61644068.093110438,20526810.880620317,418912717.4732886,44269.98719631405 
 03/14  11:00:00,757424989.2394261,0.0,0.0,435154064.4,0.0,284728041.0,26781053.77437646,523119.2470044128,10238710.818045164,646415227.6715217,433657452.9584804,115404480.0,97353294.71304116,0.0,287876627.86049917,70450316.62295309,23895089.04932653,322802091.8731298,0.0 
 03/14  12:00:00,756146294.1037357,0.0,0.0,435154064.4,0.0,284728041.0,28174353.51431836,454347.3846561584,7635487.80476117,591208911.7435031,378230508.2696371,115404480.0,97573923.47386591,0.0,334903710.5646888,77299491.59812063,20595018.560422664,282030205.6817693,0.0 
 03/14  13:00:00,742250555.1157637,0.0,0.0,435154064.4,0.0,270330255.0,28678452.312734218,306118.13744326,7781665.265586109,499487629.20834866,333227723.43992987,57702240.0,108557665.76841873,0.0,313510130.55902329,81213357.15178421,21125188.552255963,254052767.17432226,0.0 
 03/14  14:00:00,742560299.8582833,0.0,0.0,435154064.4,0.0,270330255.0,28967924.343814143,339456.64497575306,7768599.469493218,493404962.50158479,360250564.64312556,57702240.0,75452157.85845931,0.0,324173916.6635678,59687124.17290996,21118506.122465876,267864866.33856423,0.0 
 03/14  15:00:00,735613784.1606062,0.0,0.0,435154064.4,0.0,263131362.0,29279047.42491971,415875.23569162,7633435.099994757,503758065.0204381,416662965.1283161,11540448.000000002,75554651.89212199,0.0,326678136.7074221,63601029.107344407,20473925.166227089,308038607.3262256,0.0 
 03/14  16:00:00,732537954.0433538,0.0,0.0,435154064.4,0.0,263131362.0,26749436.63553348,288837.0210850889,7214253.986735229,357129584.6401981,324325991.1009432,11540448.000000002,21263145.53925493,0.0,283442777.93396607,9784774.207103415,17836923.270336156,246346434.25821976,0.0 
 03/14  17:00:00,576663493.4833438,0.0,0.0,435154064.4,0.0,107346114.0,26694679.506363565,303265.9141059913,7165369.662874136,364144365.96908798,341937291.9817327,11540448.000000002,10666625.987355218,0.0,262235330.5704272,9784768.665979233,17591133.3221696,256075055.57583458,0.0 
 03/14  18:00:00,583028369.6065841,0.0,0.0,435154064.4,6311400.0,107346114.0,26694679.506363565,404511.38110741539,7117600.319112997,445691768.0072198,412829788.4961672,11540448.000000002,21321531.511052547,0.0,245671168.15307669,18591030.001872764,17542698.239357328,305194494.13008096,0.0 
 03/14  19:00:00,614702976.248019,0.0,0.0,435154064.4,37868400.0,107346114.0,26694679.506363565,596001.9070237365,7043716.434631536,576184626.6896007,532634501.29349067,11540448.000000002,32009677.396110029,885328.2817493253,222388298.7464251,24461935.91697909,17476953.423622379,389291878.8612242,0.0 
 03/14  20:00:00,614811154.1045826,0.0,0.0,435154064.4,37868400.0,107346114.0,26694679.506363565,782957.490878521,6964938.70734035,674196648.233819,630679284.893035,11540448.000000002,31976915.340783847,3195218.966660627,206652932.82816077,21526453.146648315,17344515.920744599,461870802.00717416,0.0 
 03/14  21:00:00,234834130.64949889,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.1279677391341819,5967865.834731145,43521064.94817107,0.0,11540448.000000002,31980616.94817107,0.0,0.0,21526495.000338895,15951660.967449932,0.0,0.0 
 03/14  22:00:00,234941403.45779837,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.06977405727517162,6075138.701224309,22215049.520696004,0.0,11540448.000000002,10674601.520696003,0.0,0.0,11741720.141675914,16743551.016439939,0.0,0.0 
 03/14  23:00:00,237740813.6314124,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.052371130480677537,8874548.892241242,22204382.679826458,0.0,11540448.000000002,10663934.679826456,0.0,0.0,8806293.808704269,20567596.997710628,0.0,0.0 
 03/14  24:00:00,234938662.4968523,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.0290724362767598,6072397.780979851,22191348.697183495,0.0,11540448.000000002,10650900.697183492,0.0,0.0,4892386.837853998,16981788.896766876,0.0,0.0 
 03/15  01:00:00,238738729.6111876,0.0,0.0,85725350.6868,37868400.0,105272514.0,3790022.4551934699,24546.0320929431,6057896.437101155,33458117.8273394,11267012.70197727,11540448.000000002,10650657.125362132,6889626.024939079,29245042.29820714,4885894.464047857,16914703.272796833,13957517.44907419,0.0 
 03/15  02:00:00,240015291.91615368,0.0,0.0,85725350.6868,37868400.0,105272514.0,5053363.273591293,47944.907051307666,6047719.04871105,35495963.67424243,23883515.67424243,11540448.000000002,72000.0,15685536.046677243,35872891.02321626,4885894.878493297,16852434.065227845,25110355.244956368,0.0 
 03/15  03:00:00,241294983.3601426,0.0,0.0,85725350.6868,37868400.0,105272514.0,6316704.091989117,74549.45697408184,6037465.124379367,62522247.02063496,40331448.79616673,11540448.000000002,10650350.224468219,25076240.669098025,40442640.09657353,4885894.7193333259,16789891.949661379,36870413.47055906,0.0 
 03/15  04:00:00,246009644.4063543,0.0,0.0,85725350.6868,37868400.0,105272514.0,10257923.320709909,91604.5764107575,6793851.822433638,153593746.7842848,131402748.50460238,11540448.000000002,10650550.279682415,32735694.024633599,28019286.2241172,4885894.878197946,19993517.73948558,101485971.38212916,0.0 
