Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 07/19  22:00:00,506993953.3904022,0.0,72941428.05932588,189733389.44400008,78746400.0,141274886.4,3814641.7410932865,4339143.717579784,16144064.028403076,49292663.45745283,0.0,17403336.0,31889327.45745283,255149628.90410278,0.0,103827270.50118238,12517046.355558519,42522029.76996117,0.0,179285302.66507838 
 07/19  23:00:00,582629249.7198359,0.0,139959398.99768148,189733389.44400008,78746400.0,141274886.4,6172537.651517844,7648142.655841903,19094494.57079457,17475336.0,0.0,17403336.0,72000.0,469076368.9642515,0.0,171254778.29298065,9387784.733746335,46374390.37505067,0.0,322473629.84493669 
 07/19  24:00:00,545235274.3446478,0.0,109168649.92700754,189733389.44400008,78746400.0,141274886.4,4229266.976475563,5995266.645077134,16087414.952087388,17475336.0,0.0,17403336.0,72000.0,364474835.329736,0.0,119679105.35351718,5215436.220498746,42123503.569142218,0.0,249059724.5080126 
 07/20  01:00:00,527375578.9107866,0.0,92531022.56920088,189733389.44400008,78746400.0,141274886.4,3984589.1372729216,5053978.639828692,16051312.720484049,17475336.0,0.0,17403336.0,72000.0,307857841.7811368,0.0,109244650.30999989,5206312.301781775,41976455.22894407,0.0,212090902.84233789 
 07/20  02:00:00,425731450.57538297,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,7945.300691501132,15968829.430691295,49215141.71835417,0.0,17403336.0,31811805.71835417,0.0,0.0,0.0,5206312.249698332,41841355.14786203,0.0,0.0 
 07/20  03:00:00,425648855.9527458,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,7862.622542194991,15886317.486203503,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5206312.289269504,41717209.36071533,0.0,0.0 
 07/20  04:00:00,427556455.11581107,0.0,0.0,189733389.44400008,78746400.0,141274886.4,0.0,7899.523902162053,17793879.747908746,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5206312.300905479,48182944.88618713,0.0,0.0 
 07/20  05:00:00,387957348.82888659,0.0,0.0,189733389.44400008,39373200.0,141274886.4,0.0,7976.245564265095,17567896.739322239,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5206312.296285003,47649105.0548319,0.0,0.0 
 07/20  06:00:00,1115484812.683569,0.0,478176257.5033518,189733389.44400008,0.0,143791286.4,254313066.00440527,32065851.445920208,17404961.885891666,49215691.16530725,0.0,17403336.0,31812355.165307259,1808068399.595366,67188.43452634191,672839381.2967681,5206312.262679502,47786426.60182015,0.0,1301556692.331627 
 07/20  07:00:00,1319980331.2532182,0.0,680368662.615462,189733389.44400008,0.0,143791286.4,257493823.83931793,31805599.99196867,16787568.962469676,17475336.0,0.0,17403336.0,72000.0,2046130126.3785482,1192100.7231476894,791978882.826155,10412624.52172222,45528291.16892629,0.0,2158797670.852254 
 07/20  08:00:00,2242664043.148558,0.0,1086691337.9741829,535063140.0,0.0,304621769.63868138,270732487.4253152,27704305.572443315,17851002.537935579,119115431.14280917,0.0,87016680.00000002,32098751.142809154,2822776614.118433,2006389.118505501,1251813049.2971109,32468064.751542447,47008909.104182008,0.0,3757410377.6193759 
