Date/Time,SWHSYS1 WATER HEATER:Water Heater Heating Energy [J](Hourly),ATTIC:Zone Thermostat Heating Setpoint Temperature [C](Hourly),ATTIC:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_ZN:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_3:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Heating Setpoint Temperature [C](Hourly),PERIMETER_ZN_4:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly),PSZ-AC:5:Air System Total Heating Energy [J](Hourly),PSZ-AC:5:Air System Total Cooling Energy [J](Hourly) 
 03/31  15:00:00,1247375.3061324857,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,60105242.21376578,0.0,0.0,32261801.53248001,0.0,17820173.74176,10023266.939511246,0.000014538461538461542,1671169.5867503789,0.0,1671169.5867503789,0.0,9830122.159657132,544457.7703353087,0.0,0.0,2297111.2000023259,0.0,2181014.305421247,0.0,1674814.1931522757,0.0,2118486.8501947347,0.0,1751840.390740665,0.0 
 03/31  16:00:00,1247546.5264486143,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,60105242.21376578,0.0,0.0,32261801.53248001,0.0,17820173.74176,10023266.939511246,0.000014538461538461542,3157363.469570713,1485974.37364708,1671389.0959236327,0.0,9892804.078413409,725943.6937804117,1188779.498917664,0.0,2297111.2000023245,0.0,2689742.228515787,0.0,1792795.3059060553,0.0,2642500.470133801,0.0,1789897.2338709136,0.0 
 03/31  17:00:00,1247414.7524704054,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,37846586.53632579,0.0,0.0,17923223.073600007,0.0,9900096.523200002,10023266.939511246,0.000014538461538461542,18957846.69995888,17286626.541914043,1671220.1580448398,4667472.185102141,4041022.0144468557,428966.72814297056,13829301.233531235,0.0,2650606.37928179,0.0,6604125.194377694,0.0,4102909.5495961664,0.0,6410978.996727113,0.0,4083948.053059576,0.0 
 03/31  18:00:00,1247357.8257831359,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,28697278.00224579,0.0,0.0,10753933.844160002,0.0,7920077.218560001,10023266.939511246,0.000014538461538461542,28956628.97035653,27285481.793896714,1671147.1764598205,10092016.808798034,2229580.6250505426,346473.12657701459,21828385.43511737,0.0,4794562.0842744619,0.0,8451558.912572429,0.0,5212584.359984222,0.0,8180362.232134676,0.0,5212584.785662499,0.0 
 03/31  19:00:00,1247290.9222201419,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,36995278.00224579,0.0,0.0,10753933.844160002,8298000.0,7920077.218560001,10023266.939511246,0.000014538461538461542,31852925.118261655,30181863.714017027,1671061.4042446267,11935653.662581519,1549914.0016819167,247480.8046978676,24145490.971213625,0.0,5414041.662714368,0.0,9003449.824358141,0.0,5536496.854782727,0.0,8664840.54684548,0.0,5549929.022023692,0.0 
 03/31  20:00:00,0.0,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,35070233.38752579,0.0,0.0,7169289.229440002,9957600.0,7920077.218560001,10023266.939511246,0.000014538461538461542,34938728.3272975,34866728.3272975,72000.0,14335513.925210385,852842.1864862539,280478.24532425,27893382.661838004,0.0,6301503.064131772,0.0,9912930.336289494,0.0,6079305.515855178,0.0,9526659.554775212,0.0,6096251.13029718,0.0 
 03/31  21:00:00,1247317.780817852,0.0,0.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,21.0,24.0,35070233.38752579,0.0,0.0,7169289.229440002,9957600.0,7920077.218560001,10023266.939511246,0.000014538461538461542,38995230.32973688,37324134.49202833,1671095.837708548,15655960.853443094,495806.022955809,131989.76250552937,29859307.59362267,0.0,6742869.7219576,0.0,10399223.61658383,0.0,6368876.241146376,0.0,9984429.508650199,0.0,6387175.444795832,0.0 
 03/31  22:00:00,1247233.6853979547,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,21462321.833294546,0.0,0.0,3584644.614720001,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1670988.025058078,0.0,1670988.025058078,0.0,0.0,82493.60156595588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/31  23:00:00,1247226.733416701,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1670979.1124261434,0.0,1670979.1124261434,0.0,0.0,82493.60156595588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 03/31  24:00:00,0.0,0.0,0.0,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,15.6,26.7,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,72000.0,0.0,72000.0,0.0,0.0,82493.60156595588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
