Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 08/15  13:00:00,589932597.3253549,0.0,170342425.11328466,173690957.55979295,0.0,229176847.66968299,16691982.643770766,30384.338823529408,7881850.631650495,0.0,7881850.631650495,5767562.963883704,375965070.5906824,6057329.168892669,0.0,757158045.5400243 
 08/15  14:00:00,575435351.0680411,0.0,168507245.69204746,173690957.55979295,0.0,216461331.18616648,16745432.291210652,30384.338823529408,3974274.917837349,0.0,3974274.917837349,5574460.169114219,381958342.3267373,3813873.9211546427,0.0,757507324.5835934 
 08/15  15:00:00,578071079.0392135,0.0,170928040.27228377,173690957.55979295,0.0,216461331.18616648,16960365.682146718,30384.338823529408,7876253.429176932,0.0,7876253.429176932,5163168.062273864,387445810.73051217,3701701.1587677404,0.0,769414218.0487676 
 08/15  16:00:00,593845484.3702263,0.0,175947296.68495286,173690957.55979295,0.0,226864935.58177094,17311910.204886065,30384.338823529408,7879167.194067249,0.0,7879167.194067249,4322195.49843955,392522735.0412648,4935601.545023654,0.0,790256358.2773855 
 08/15  17:00:00,530014511.8213024,0.0,152468031.56477554,135092966.9909501,0.0,226061237.00064618,16361891.926106777,30384.338823529408,3973218.446780986,0.0,3973218.446780986,170547.17366538244,377620995.8423273,2916491.822059432,0.0,680672867.7498063 
 08/15  18:00:00,343652100.73139569,0.0,105464817.79690957,96494976.4221072,0.0,129665444.23400118,11996477.939554222,30384.338823529408,3972528.8599271106,0.0,3972528.8599271106,0.0,295847267.9202949,2355628.0101249257,0.0,466972827.090074 
 08/15  19:00:00,340944937.6894728,0.0,94374018.5387003,96494976.4221072,17764800.0,120417795.88235286,11862962.507488892,30384.338823529408,3971849.092290486,0.0,3971849.092290486,0.0,285029211.27383396,1682591.4358035182,0.0,416045045.7281848 
 08/15  20:00:00,314449427.5141869,57015.28408844178,90225149.66119512,57896985.85326433,53294400.0,101118800.5979314,11826691.77888405,30384.338823529408,72000.0,0.0,72000.0,0.0,284382592.5108974,1906936.9605773213,57015.28408844178,396274684.756319 
 08/15  21:00:00,306858636.1972772,1732205.24035028,85582992.56384781,57896985.85326433,53294400.0,96494976.4221072,11826691.77888405,30384.338823529408,3970814.3072895149,0.0,3970814.3072895149,0.0,275672745.3587159,897382.0990952097,1732205.24035028,374600327.97092828 
 08/15  22:00:00,149819760.76093073,0.0,0.0,19298995.284421438,53294400.0,77195981.13768575,0.0,30384.33882352941,72000.0,0.0,72000.0,6432998.42814048,0.0,560863.8119345059,0.0,0.0 
 08/15  23:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,3970678.379508084,0.0,3970678.379508084,4503098.899698336,0.0,560863.811934506,0.0,0.0 
 08/15  24:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,3859799.056884288,0.0,560863.8119345059,0.0,0.0 
 08/16  01:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,3970465.4006716457,0.0,3970465.4006716457,3859799.056884288,0.0,560880.954308966,0.0,0.0 
 08/16  02:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,3859799.056884288,0.0,560880.954308966,0.0,0.0 
 08/16  03:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,3859799.056884288,0.0,560880.954308966,0.0,0.0 
 08/16  04:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,3970213.5792912526,0.0,3970213.5792912526,3859799.056884288,0.0,560880.954308966,0.0,0.0 
 08/16  05:00:00,149819760.76093073,0.0,0.0,19298995.284421438,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,7076298.270954527,0.0,897409.5268943457,0.0,0.0 
 08/16  06:00:00,161256709.1915149,15151524.28421297,37161500.89880753,19298995.284421438,0.0,77195981.13768575,12418323.247563687,30384.33882352941,3970861.14081727,0.0,3970861.14081727,4838009.364500283,258080248.88287125,785233.3360325523,15151524.28421297,156917635.47880728 
 08/16  07:00:00,255829847.00254206,15777583.879289208,52643758.47613351,57896985.85326433,0.0,117654442.67614728,11826691.77888405,30384.33882352941,3972377.3964194289,0.0,3972377.3964194289,5415587.617329201,241137896.32444669,2131347.626374071,15777583.879289208,224379264.11411346 
