Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 07/15  04:00:00,2950610759.4164578,0.0,1029951069.528223,526834643.0385891,74984400.0,407926009.7788609,117333098.90109866,401083044.7459069,236124023.9248847,134319131.12265883,0.0,22055338.376235948,1304968696.917156,1253237066.97885,20392811.859456,31338818.07885013,6238388755.746007,0.0,1533213420.2106775,36767538.620563779,55486702.58311823,999234092.197422,5135354528.800749 
 07/15  05:00:00,2903920169.9672167,0.0,1022026732.513602,526834643.0385891,37492200.0,407926009.7788609,117333098.90109866,401083044.7459069,235106507.23076777,134319131.12265883,0.0,21798802.63573238,1378107451.607337,1264519744.5791083,50982029.64864,62605677.37958878,6157590553.738882,0.0,1526947798.5480219,36768302.99887017,54604266.55962825,999970510.4949939,5061891622.400969 
 07/15  06:00:00,3210427799.6298787,0.0,1025792964.583245,642985923.0816147,0.0,636801372.8715168,117333098.90109866,401083044.7459069,230126250.62179817,134319131.12265883,0.0,21986013.702039288,1068396597.3717811,935093727.4186099,101964059.29728,31338810.655891286,6116249403.00373,0.0,1729603837.0320264,36767534.79455767,55982118.764403458,796483435.0955346,5029387293.016165 
 07/15  07:00:00,3724843972.9610664,0.0,1028167266.3745992,883596248.8576131,0.0,795485392.2367202,234666197.8021973,405136659.9788727,221602784.4139068,134319131.12265883,0.0,21870292.174497039,1419840223.4603508,1204288022.209505,152946088.94592,62606112.30492571,5969928255.212062,9450698.142326443,1721435695.642342,36768267.23659429,54946000.020599488,921386107.6322608,4887442033.025628 
 07/15  08:00:00,3835192385.887619,0.0,1099338523.12081,883596248.8576131,0.0,795485392.2367202,269866127.4725269,405670378.88562217,223868928.01856373,134319131.12265883,0.0,23047656.173102824,1291470519.0301638,1024649793.255773,203928118.59456,62892607.17983069,6416370121.01414,0.0,1816200667.5951727,50921597.210136998,56492729.13911748,808503342.4812138,5259027173.512142 
 07/15  09:00:00,4378489773.309789,0.0,1200157656.308786,1003901411.745612,0.0,961040943.332525,410665846.1538452,415319537.2009888,229669328.70766456,134319131.12265883,0.0,23415918.737708715,1074644779.3115493,858535153.0483006,152946088.94592,63163537.31732844,7197218125.935553,0.0,1992791718.2170184,63958413.9350732,57128238.43816267,684601591.0813136,5935790151.140776 
 07/15  10:00:00,4505461945.634678,0.0,1294176509.6795178,1003901411.745612,0.0,988031134.5133251,410665846.1538452,416988506.3385789,233693388.29839469,134319131.12265883,0.0,23686017.782745147,1094642746.1185904,744621831.110549,254910148.24319998,95110766.76484154,7857120681.875287,0.0,2077751377.824012,76382898.85853252,56916174.31433158,584817628.5878043,6498450192.895401 
 07/15  11:00:00,4533885167.514001,0.0,1317137138.121476,1003901411.745612,0.0,988031134.5133251,410665846.1538452,418017756.9936922,234231612.5033148,134319131.12265883,0.0,27581136.360075915,1046406368.7070072,696382813.6580317,254910148.24319998,95113406.80577536,8000302384.405764,0.0,2125485648.5671528,76384110.95155476,61612927.048977728,550521537.4655603,6612721813.407454 
 07/15  12:00:00,4442422371.141115,0.0,1338390444.6681505,1003901411.745612,0.0,988031134.5133251,299199402.19780156,419455508.2173544,234970372.11126287,134319131.12265883,0.0,24154966.56494928,1016170741.0385772,666175395.1408757,254910148.24319998,95085197.65450156,8159269572.872287,0.0,2168475464.3334548,75774003.9381202,56766652.507615458,527012601.9823804,6754029349.799074 
 07/15  13:00:00,4474911102.410665,0.0,1391736135.6647793,1003901411.745612,0.0,961040943.332525,299199402.19780156,423012520.37643006,237002784.57620324,134319131.12265883,0.0,24698773.39465498,927068978.7752415,628056676.2615811,203928118.59456,95084183.91910033,8531833521.026755,0.0,2222020950.467692,75773835.80844102,58773206.20296897,496071236.38352677,7071408845.031356 
