Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 08/20  17:00:00,552897368.3023357,0.0,197577548.4752688,156648030.75360007,0.0,141274886.4,29873263.1397994,10568846.70061838,16954792.833049135,17475336.0,0.0,17403336.0,72000.0,638097187.8278809,0.0,392545740.1673196,3054894.567103947,43353849.18790068,0.0,486585601.8363604 
 08/20  18:00:00,580140440.7378962,0.0,222293783.32852019,156648030.75360007,0.0,141274886.4,30512736.283390799,12556745.133905024,16854258.838480157,17475336.0,0.0,17403336.0,72000.0,745475531.4201987,1021056.5624356479,459033573.5299593,3054894.566897666,43287190.090548899,0.0,550544553.3900964 
 08/20  19:00:00,516509893.28152886,0.0,157621880.37212456,156648030.75360007,21512400.0,141274886.4,10696330.898155719,10165166.12005566,18591198.73759284,48399843.275340568,0.0,17403336.0,30996507.27534057,580008423.2823387,0.0,293322643.1897578,3054894.5669628644,49769118.88890324,0.0,413425990.6163763 
 08/20  20:00:00,510155255.9792239,0.0,113031899.99918711,156648030.75360007,64537200.0,141274886.4,8843733.438771932,7656261.911093724,18163243.47657109,17475336.0,0.0,17403336.0,72000.0,425481147.110021,0.0,241358722.0352924,3054894.5667964217,49237567.92829827,0.0,305414278.2329979 
 08/20  21:00:00,390903454.0539682,0.0,10108379.6568545,156648030.75360007,64537200.0,141274886.4,812462.484292682,702705.9598561429,16819788.799364758,17475336.0,0.0,17403336.0,72000.0,38487277.79800944,0.0,21581619.35375098,3054894.5670605006,45548867.28304578,0.0,27752331.237662965 
 08/20  22:00:00,377757423.9293076,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,4690.52232188615,15292616.253385628,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,3054894.56710871,40753119.78198306,0.0,0.0 
 08/20  23:00:00,380638266.9222827,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,4710.747454155078,18173439.021228445,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,3054894.56665274,44380525.02771776,0.0,0.0 
 08/20  24:00:00,377620688.12731006,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,4739.189276955665,15155831.78443307,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,3054894.5661795868,40596092.67476822,0.0,0.0 
 08/21  01:00:00,377573253.91617348,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7952.852396835129,15105183.910176585,48420820.3677549,0.0,17403336.0,31017484.3677549,0.0,0.0,0.0,5093400.9111595959,40551553.43086482,0.0,0.0 
 08/21  02:00:00,377473502.9147167,0.0,0.0,156648030.75360007,64537200.0,141274886.4,0.0,7834.192361112666,15005551.568755541,17475336.0,0.0,17403336.0,72000.0,0.0,0.0,0.0,5093400.856542692,40488069.10587938,0.0,0.0 
