Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 03/04  08:00:00,469516646.3630029,0.0,0.0,189733389.44400008,0.0,189143078.4,76998147.69374591,163534.999418468,13478495.825838412,93673141.13686699,76197805.13686699,17403336.0,72000.0,99552537.0558202,14311902.393602476,4455364.336971151,39654989.520198788,68406500.47958657,0.0 
 03/04  09:00:00,499360795.4517919,0.0,0.0,189733389.44400008,0.0,189143078.4,106866862.29035589,103087.40913906132,13514377.90829685,102251634.18066378,53837355.222641799,17403336.0,31010942.958022003,109415508.5314083,11181360.276499227,4455364.336913675,39767637.6803984,53496433.457017708,0.0 
 03/04  10:00:00,455075282.0011269,0.0,0.0,189733389.44400008,0.0,189143078.4,62397440.82744932,69029.83937825295,13732343.490299236,46129417.57067128,28654081.57067128,17403336.0,72000.0,58545770.738749679,10821576.839955036,7425607.228045424,40318073.40224397,29479875.831027487,0.0 
 03/04  11:00:00,441017734.2562975,0.0,0.0,189733389.44400008,0.0,189143078.4,48041066.78740532,74226.24724527908,14025973.377646812,87249515.99828404,6934487.0365732689,17403336.0,62911692.961710769,35190023.106606367,5521438.57976597,51001070.24880736,39888330.875253807,7725274.436212136,0.0 
 03/04  12:00:00,416033418.8177234,0.0,0.0,189733389.44400008,0.0,189143078.4,19887778.669093249,29888.393252988564,17239283.911377066,50177567.98467002,1575503.2215977968,17403336.0,31198728.763072224,10605925.798140664,2941642.265105903,22677017.902665825,42763726.52458744,1873383.983492082,0.0 
 03/04  13:00:00,412731092.04701808,0.0,0.0,189733389.44400008,0.0,189143078.4,19887778.669093249,27908.35280134333,13938937.181123313,49214974.048475999,614730.0660916072,17403336.0,31196907.982384385,7856511.816496202,3747896.687656363,22677020.360511334,38991699.76972533,772127.7626075308,0.0 
 03/04  14:00:00,398062141.56848368,0.0,0.0,189733389.44400008,0.0,189143078.4,4971944.667273312,23177.670824138615,14190551.3863861,48569978.431122038,0.0,17403336.0,31166642.43112204,1648444.1182062894,1141162.461896599,19706776.33003809,40578470.140541929,0.0,0.0 
 03/04  15:00:00,408003239.28991928,0.0,0.0,189733389.44400008,0.0,189143078.4,14915834.001819935,23907.039297173447,14187030.404802023,48938497.10227271,369290.82031107557,17403336.0,31165870.28196163,5663372.330965964,2646917.0494957978,19706777.252686275,41056581.07025253,450290.54658254657,0.0 
 03/04  16:00:00,407723458.84790566,0.0,0.0,189733389.44400008,0.0,189143078.4,14915834.001819935,25034.074753088647,13906122.927332452,18411693.246890043,936357.246890043,17403336.0,72000.0,4431103.171699415,3174247.73628351,19706776.85173194,40393682.81519337,1163421.8146555019,0.0 
 03/04  17:00:00,444878835.25328889,0.0,0.0,189733389.44400008,0.0,189143078.4,53013011.45467863,15491.037542773041,12973864.917067394,53426332.02359553,5012035.051583867,17403336.0,31010960.972011649,35074912.57120353,8386570.369437968,4455364.3356540589,35986164.20453514,5465684.293861221,0.0 
 03/04  18:00:00,488530195.3227875,0.0,0.0,189733389.44400008,39373200.0,189143078.4,57425496.16017601,29122.82864678678,12825908.489964638,29293997.488550724,11818661.488550725,17403336.0,72000.0,43334429.91477714,8783111.82921905,4455364.3358742049,35779044.10059815,11966067.930184944,0.0 
 03/04  19:00:00,542210907.9852396,0.0,0.0,189733389.44400008,78746400.0,189143078.4,71781870.20022002,64020.2111646112,12742149.729854905,46940158.74250172,29464822.742501718,17403336.0,72000.0,62249516.86797368,12186437.930144696,4455364.336827993,35608741.25912361,28213035.343428784,0.0 
 03/04  20:00:00,560594421.2647055,0.0,0.0,189733389.44400008,78746400.0,189143078.4,88585738.6230797,137020.57351555449,14248794.224110147,95326164.26040527,77850828.26040527,17403336.0,72000.0,106340927.41326006,11256465.818115812,4455364.33690949,42029570.5306995,64040488.11382374,0.0 
 03/04  21:00:00,595430007.070023,0.0,0.0,189733389.44400008,78746400.0,189143078.4,123419880.65579535,261092.42982121913,14126166.140406317,168225361.49263603,150750025.49263603,17403336.0,72000.0,181407636.8595094,13627902.415273823,4455364.336754463,41467981.48457499,121211500.59619814,0.0 
 03/04  22:00:00,584845743.1746329,0.0,0.0,189733389.44400008,78746400.0,189143078.4,112701663.84371427,1272026.1982684122,13249185.288650182,679145271.2483981,534255848.13857117,17403336.0,127486087.109827,375720228.9935806,11553565.758151982,91606290.74738008,37619848.783660668,324717571.6176368,0.0 
 03/04  23:00:00,611896160.7025594,0.0,0.0,189733389.44400008,78746400.0,189143078.4,140823757.22895674,1372845.3309796709,12076690.29862293,560624834.8736448,543149498.8736448,17403336.0,72000.0,512030160.5786079,11750933.47832631,4455364.336798657,32514023.2836745,432319768.6951522,0.0 
 03/04  24:00:00,588310786.8261919,0.0,0.0,189733389.44400008,78746400.0,189143078.4,112842400.0196243,2222025.4281962087,15623493.534371393,668822190.6744579,651346854.6744579,17403336.0,72000.0,495258361.1499649,2369064.944648047,4455364.336795828,36080294.63558345,417498814.9936888,0.0 
