Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/15  08:00:00,170422338.33740575,0.0,27720055.51931998,68764310.8938,0.0,30158905.30883999,43779066.615445729,0.0,0.0,0.0,20240028.236360358,0.0,120845676.25564452 
 06/15  09:00:00,256137606.46259777,0.0,49807044.841232027,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,65616183.05323984,0.0,213176148.03788183 
 06/15  10:00:00,268996788.6251445,0.0,62666227.00377876,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,80778871.73012471,0.0,260241527.94714774 
 06/15  11:00:00,285245433.73116186,0.0,78914872.10979605,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,107164771.93114273,0.0,317880898.01967856 
 06/15  12:00:00,293742750.6323587,0.0,87412189.01099289,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,121376144.51496707,0.0,344090811.4048735 
 06/15  13:00:00,303644383.90059629,0.0,97313822.27923054,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,134649827.79315264,0.0,375115135.5127502 
 06/15  14:00:00,311715035.3531071,0.0,105384473.73174134,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,145986476.0278826,0.0,397401365.09396198 
 06/15  15:00:00,317177535.8081224,0.0,110846974.18675664,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,161082599.03846834,0.0,413630709.4212811 
 06/15  16:00:00,316241735.8472551,0.0,109911174.22588933,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,162283991.34679578,0.0,408074742.808283 
 06/15  17:00:00,308944426.1871597,0.0,102613864.56579395,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,154160446.53580294,0.0,380310913.1680983 
 06/15  18:00:00,253428502.705204,0.0,92664942.66423825,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,140324368.0290454,0.0,344215074.6132828 
 06/15  19:00:00,239918508.1012625,0.0,79154948.06029676,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,120013653.5491178,0.0,297074830.2201079 
 06/15  20:00:00,230129068.8172223,0.0,67588385.99913652,68764310.8938,19838400.0,30158905.30883999,43779066.615445729,0.0,0.0,0.0,104979382.54603175,0.0,258913980.2353072 
 06/15  21:00:00,74496984.534,0.0,0.0,27505724.357519997,29757600.0,17233660.17648,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  22:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  23:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/15  24:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  01:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  02:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  03:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  04:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  05:00:00,23258253.65556,0.0,0.0,6876431.089379999,9919200.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  06:00:00,57379944.88574698,0.0,261824.61474127067,6876431.089379999,0.0,6462622.566179999,43779066.615445729,0.0,0.0,3749494.017478939,3707968.0787816999,0.0,1211888.787694401 
 06/16  07:00:00,74135439.82086057,0.0,3678265.8942948465,13752862.178759998,0.0,12925245.132359999,43779066.615445729,0.0,0.0,15821080.667127733,2326246.7913778668,0.0,16230226.103732175 
 06/16  08:00:00,126346815.19960089,0.0,19767086.82727514,41258586.53627999,0.0,21542075.220599999,43779066.615445729,0.0,0.0,1035301.0217156319,9416801.239213532,0.0,85664086.83035468 
 06/16  09:00:00,203529910.35362426,0.0,42766350.31265851,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,54352895.41704309,0.0,181272335.55953408 
 06/16  10:00:00,267635647.60569177,0.0,61305085.98432602,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,85198477.7963294,0.0,254546094.02137859 
 06/16  11:00:00,284943590.036774,0.0,78613028.41540827,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,114644718.36091757,0.0,320352395.0673061 
 06/16  12:00:00,296614730.33401408,0.0,90284168.71264833,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,131273426.22271089,0.0,358195846.8892972 
 06/16  13:00:00,305376917.5188827,0.0,99046355.89751703,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,145460450.72099919,0.0,384259292.16532149 
 06/16  14:00:00,312298163.8717442,0.0,105967602.25037842,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,157609403.73213879,0.0,405051756.0722752 
 06/16  15:00:00,314984298.49059668,0.0,108653736.86923088,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,167699346.27609594,0.0,410241625.3590597 
 06/16  16:00:00,314823758.145863,0.0,108493196.52449727,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,173752037.86035223,0.0,406153775.2569994 
 06/16  17:00:00,308659487.05677887,0.0,102328925.43541305,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,163525127.38167123,0.0,383906927.9966521 
 06/16  18:00:00,224860600.45691676,0.0,82158317.638831,68764310.8938,0.0,30158905.30883999,43779066.615445729,0.0,0.0,0.0,116547038.24040555,0.0,309558376.06758037 
 06/16  19:00:00,176650894.6960347,0.0,70071166.32370894,41258586.53627999,0.0,21542075.220599999,43779066.615445729,0.0,0.0,0.0,92628241.9791489,0.0,265697167.258147 
 06/16  20:00:00,187504865.82351173,0.0,61086737.45118594,41258586.53627999,19838400.0,21542075.220599999,43779066.615445729,0.0,0.0,0.0,80468345.06809779,0.0,235491725.5128634 
 06/16  21:00:00,148631507.52185986,0.0,48416733.59529412,13752862.178759998,29757600.0,12925245.132359999,43779066.615445729,0.0,0.0,0.0,52890823.73712014,0.0,189389304.9976903 
 06/16  22:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  23:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/16  24:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  01:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  02:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  03:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  04:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  05:00:00,23258253.65556,0.0,0.0,6876431.089379999,9919200.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  06:00:00,13339053.65556,0.0,0.0,6876431.089379999,0.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  07:00:00,13339053.65556,0.0,0.0,6876431.089379999,0.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/17  08:00:00,73392357.07013154,0.0,2935183.1435658389,13752862.178759998,0.0,12925245.132359999,43779066.615445729,0.0,0.0,17979975.179852699,2656228.672242647,0.0,13646677.20356327 
 06/17  09:00:00,76939545.93688154,0.0,6482372.010315826,13752862.178759998,0.0,12925245.132359999,43779066.615445729,0.0,0.0,14269334.448076714,4924146.687296955,0.0,29784427.28428705 
