Date/Time,BACK_SPACE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BACK_SPACE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),CORE_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_ENTRY:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FRONT_RETAIL:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),POINT_OF_SALE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),PSZ-AC:1:Air System Total Heating Energy [J](Hourly),PSZ-AC:1:Air System Total Cooling Energy [J](Hourly),PSZ-AC:2:Air System Total Heating Energy [J](Hourly),PSZ-AC:2:Air System Total Cooling Energy [J](Hourly),PSZ-AC:3:Air System Total Heating Energy [J](Hourly),PSZ-AC:3:Air System Total Cooling Energy [J](Hourly),PSZ-AC:4:Air System Total Heating Energy [J](Hourly),PSZ-AC:4:Air System Total Cooling Energy [J](Hourly) 
 01/02  02:00:00,15.599999999999996,30.0,15.599999999999996,30.0,15.599999999999996,90.0,15.599999999999996,30.0,15.599999999999996,30.0,46670104.27919462,590943.6700929182,0.0,6876431.089379999,29757600.0,8616830.08824,828299.4314817052,24481495.53894196,24481495.53894196,20918418.08520231,0.0,20176140.101246489,0.0,8412900.6712818,0.0,0.0,0.0,5293629.689073521,0.0,6668244.259288337,0.0 
 01/02  03:00:00,15.600000000000002,30.00000000000001,15.600000000000002,30.00000000000001,15.600000000000002,90.00000000000002,15.600000000000002,30.00000000000001,15.600000000000002,30.00000000000001,46876493.07252847,659199.3483435016,0.0,6876431.089379999,29757600.0,8616830.08824,966432.5465649632,29002453.623025478,29002453.623025478,24655648.533823573,0.0,23861162.246763886,0.0,12318427.839577716,0.0,0.0,0.0,5279321.142386494,0.0,6531925.220029397,0.0 
 01/02  04:00:00,15.599999999999996,30.0,15.599999999999996,30.0,15.599999999999996,90.0,15.599999999999996,30.0,15.599999999999996,30.0,46944763.557853978,709762.3126956085,0.0,6876431.089379999,29757600.0,8616830.08824,984140.0675383727,29315645.95462066,29315645.95462066,25056774.515815114,0.0,24162279.076392138,0.0,10384737.766349277,0.0,0.0,0.0,6325375.019439762,0.0,7687822.802454181,0.0 
 01/02  05:00:00,15.600000000000002,30.00000000000001,15.600000000000002,30.00000000000001,15.600000000000002,90.00000000000002,15.600000000000002,30.00000000000001,15.600000000000002,30.00000000000001,46976222.82553306,694765.2650397518,0.0,6876431.089379999,29757600.0,8616830.08824,1030596.3828733168,31020341.75612126,31020341.75612126,26368337.114489177,0.0,25511038.66993676,0.0,13588814.709520299,0.0,0.0,0.0,5483403.682825245,0.0,6735930.15243292,0.0 
 01/02  06:00:00,15.599999999999996,30.0,15.599999999999996,30.0,15.599999999999996,90.0,15.599999999999996,30.0,15.599999999999996,30.0,46894289.19282794,696122.6013057821,0.0,6876431.089379999,29757600.0,8616830.08824,947305.4139021575,28178138.587119856,28178138.587119856,24102524.186933806,0.0,23238633.47100167,0.0,10085969.558974345,0.0,0.0,0.0,6005088.351808503,0.0,7360037.129823415,0.0 
 01/02  07:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,95644056.10245152,6575407.066394344,0.0,6876431.089379999,29757600.0,8616830.08824,43817787.85843718,813010130.8145543,813010130.8145543,397575282.31936207,0.0,646236121.4252772,0.0,113836676.08773151,0.0,450901872.7264348,0.0,58829032.087589409,0.0,59872200.07256776,0.0 
 01/02  08:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,103425149.53818834,4948777.145751173,0.0,27505724.357519997,9919200.0,17233660.17648,43817787.85843718,620525956.8391812,620525956.8391812,247191843.42633153,0.0,493047465.25448307,0.0,83821364.70412894,0.0,356314668.4506875,0.0,44466397.267088208,0.0,47275324.30227347,0.0 
 01/02  09:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,146978558.0319039,4237553.970826674,0.0,68764310.8938,0.0,30158905.30883999,43817787.85843718,537135744.836522,537135744.836522,185477880.89476899,0.0,426675173.0557356,0.0,72656113.97835064,0.0,315321745.89681437,0.0,36740945.753744337,0.0,41497880.07144703,0.0 
 01/02  10:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,209865084.307747,3495801.4433897698,0.0,123775759.60884,0.0,38775735.39708,43817787.85843718,437599475.8470427,437599475.8470427,114498034.79948724,0.0,347678786.7367982,0.0,63143612.84666838,0.0,261720871.29357384,0.0,28478419.952979659,0.0,34619147.815632019,0.0 
 01/02  11:00:00,21.0,24.0,21.0,24.0,21.0,90.0,21.0,24.0,21.0,24.0,209439793.4645623,3070510.600205092,0.0,123775759.60884,0.0,38775735.39708,43817787.85843718,390527994.4630608,390527994.4630608,89001594.85308923,0.0,310224266.88187488,0.0,57705271.911754619,0.0,237230583.57114775,0.0,24857536.63979466,0.0,31139430.77441763,0.0 
