Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/22  20:00:00,2625164946.202184,0.0,278457689.5181115,538279852.336432,123028800.0,897133087.2273873,351999296.7032966,104667536.56139931,189127699.86250184,142470983.99305547,23601621.315557977,0.0,23601621.315557977,2516363939.571412,0.0,3070583271.2392098,18198943.861088288,0.0,1138270096.5675135 
 06/22  21:00:00,2462977151.017262,0.0,155352571.48799379,538279852.336432,184543200.0,897133087.2273873,263999472.52747248,104667536.56139931,176530446.88352127,142470983.99305547,22095586.492134993,14205252.398762688,7890334.093372306,1518132430.626548,0.0,2988665506.5829427,8564219.660846722,12222783.412607301,657525355.5558323 
 06/22  22:00:00,1257684161.2834404,0.0,0.0,179426617.44547747,184543200.0,717706469.7819098,175999648.3516483,0.0,8225.704405087112,0.0,7882068.733779529,0.0,7882068.733779529,0.0,0.0,0.0,5352639.026489135,0.0,0.0 
 06/22  23:00:00,1079971028.4229553,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8225.74248249312,0.0,7881874.639676487,0.0,7881874.639676487,0.0,0.0,0.0,5352638.638992769,0.0,0.0 
 06/22  24:00:00,1035971116.6393676,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8226.046807033057,0.0,7881723.085419902,0.0,7881723.085419902,0.0,0.0,0.0,5352638.615818657,0.0,0.0 
 06/23  01:00:00,1035971106.7354301,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8216.142869630656,0.0,7881550.587411939,0.0,7881550.587411939,0.0,0.0,0.0,5334924.205459617,0.0,0.0 
 06/23  02:00:00,1035971107.0694673,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8216.476906714419,0.0,7881365.814404231,0.0,7881365.814404231,0.0,0.0,0.0,5334924.171232349,0.0,0.0 
 06/23  03:00:00,1035971107.3819763,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8216.789415650537,0.0,7881194.566333408,0.0,7881194.566333408,0.0,0.0,0.0,5334924.135217539,0.0,0.0 
 06/23  04:00:00,1079971019.1784306,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8216.497957792759,0.0,7882031.111095968,0.0,7882031.111095968,0.0,0.0,0.0,5334924.2467101779,0.0,0.0 
 06/23  05:00:00,1134660293.6810017,0.0,0.0,179426617.44547747,61514400.0,717706469.7819098,175999648.3516483,0.0,13158.101966251636,0.0,15706136.092034288,0.0,15706136.092034288,0.0,0.0,0.0,8535875.828411242,0.0,0.0 
