Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 03/21  17:00:00,1055260890.2701614,0.0,0.0,366741495.8253225,0.0,149046913.35424707,205732517.6651163,0.0018365829514590136,333739963.4236389,606705361.2938087,564683811.9467753,37827000.0,4194549.347033411,309819589.55110618,50188494.47732158,3060304.270001411,894023417.1796415,440453373.3184848,0.0 
 03/21  18:00:00,1018866049.0240132,0.0,0.0,244494330.55021499,14761800.0,132695745.20377517,205732517.6651163,0.00163989781963596,421181655.6032667,759404934.4125512,721586320.8981339,33624000.00000001,4194613.514417243,382451492.7039766,46643544.2067073,2734767.0234752057,913626163.4570831,562837330.3005444,0.0 
 03/21  19:00:00,979522634.4644536,0.0,0.0,244494330.55021499,59047200.0,132695745.20377517,205732517.6651163,0.0013240558613782793,337552841.0440228,907024554.6530775,869206496.9249095,33624000.00000001,4194057.7281680076,447572570.8850106,44481008.50125692,2213845.839881326,990678965.7376914,677981067.6014295,0.0 
 03/21  20:00:00,874956953.674573,0.0,0.0,203745275.45851249,59047200.0,116344577.05330327,205732517.6651163,0.0012854675426806537,290087383.4963553,1014415885.9256971,980801233.5679208,29420999.999999998,4193652.3577764725,493696797.4833474,30542626.177034685,2148738.5102067545,842066849.4821385,765024962.1829783,0.0 
 03/21  21:00:00,628084666.1492492,0.0,0.0,81498110.183405,59047200.0,67291072.60188759,205732517.6651163,0.0008964708835848611,214515765.69794376,956711279.6563952,935706356.3453002,16812000.000000005,4192923.311095118,429372372.7418708,2471004.992103438,1497609.0456679483,549607257.1101911,729850957.9493342,0.0 
 03/21  22:00:00,310462257.63293406,0.0,0.0,20374527.54585125,59047200.0,32702336.300943793,0.0,0.0005093844012025033,198338193.78562964,8478000.000000002,0.0,8406000.000000002,72000.0,0.0,0.0,846476.8209802678,477632379.4742024,0.0,0.0 
 03/21  23:00:00,499610728.6925808,0.0,0.0,20374527.54585125,59047200.0,32702336.300943793,60457911.17788685,0.0003115661110081649,327028753.6675873,41281738.4662095,28684164.519341045,8406000.000000002,4191573.946868459,47525677.31729407,0.0,520908.74956627629,559096854.8235204,22373648.325086018,0.0 
 03/21  24:00:00,462839808.17484149,0.0,0.0,20374527.54585125,59047200.0,32702336.300943793,140255865.1993662,0.00015516057685394032,210459879.12852503,152312062.06260223,143834062.06260223,8406000.000000002,72000.0,184266383.07482875,0.0,260454.41131019494,527497088.5639795,112190568.40882972,0.0 
 03/22  01:00:00,428576812.2537039,0.0,0.0,20374527.54585125,59047200.0,32702336.300943793,130003849.92705457,0.00019609676302139302,186448898.47965823,200948246.44901858,192470246.44901858,8406000.000000002,72000.0,219430093.8330416,0.0,325064.71753747758,436078015.15753617,150126792.23023445,0.0 
 03/22  02:00:00,404351042.524243,0.0,0.0,20374527.54585125,59047200.0,32702336.300943793,106919666.77879346,0.00019506945356125274,185307311.89845938,220820678.52464587,208223143.24886663,8406000.000000002,4191535.27577923,213315982.39471,0.0,325064.71695595807,432946359.88790848,162414051.734116,0.0 
