Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 09/26  20:00:00,3284186247.1218607,0.0,931528434.6911692,767444968.8145875,74984400.0,448411296.5500608,305066057.1428565,396739862.2797197,203656372.161254,134073233.13611795,0.0,22281622.346094625,1349523575.9557725,1081193864.8178764,203928118.59456,64401592.54333638,4784321561.06715,0.0,1776379767.9293848,45624434.295498657,53122349.29070373,843506120.689137,3805762439.299136 
 09/26  21:00:00,3121270145.9800717,0.0,910451135.9634615,767444968.8145875,74984400.0,448411296.5500608,164266338.4615381,396739862.2797197,203884193.698363,134073233.13611795,0.0,21014717.076222328,1327738523.8978053,1110547015.9804013,152946088.94592,64245418.97148403,4640632972.702664,0.0,1724223412.8986004,38541271.60331168,49723420.32264391,876593983.5322518,3675666290.495245 
 09/26  22:00:00,2699214429.934145,0.0,890818640.1161572,410683362.9955632,74984400.0,448411296.5500608,117333098.90109866,396739862.2797197,205460126.8153288,134073233.13611795,0.0,20710409.14009872,1341895774.0068789,1207782211.7901719,101964059.29728,32149502.919426804,4522567062.19029,0.0,1615900248.094004,37605837.52464213,49145077.05457611,944986719.0309846,3583015211.300414 
 09/26  23:00:00,2716032689.294402,0.0,898790258.3901216,410683362.9955632,74984400.0,448411296.5500608,117333098.90109866,396739862.2797197,211343125.65326006,134073233.13611795,0.0,23674051.38846062,1351143753.5757759,1235934011.8141149,50982029.64864,64227712.113021049,4648039338.124554,0.0,1560375203.4211708,37605568.6074037,52824656.61021495,976003523.915777,3688931880.83463 
 09/26  24:00:00,2677740917.539884,0.0,902957399.5660993,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,213508313.88558347,134073233.13611795,0.0,19535236.99684138,1339665215.8146978,1263891911.5618914,20392811.859456,55380492.3933505,4712849074.930441,0.0,1514660081.5682543,37605922.51412422,46650478.66563496,998560354.9533064,3753947462.567357 
 09/27  01:00:00,2646069004.3372066,0.0,874701218.6451554,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,210399878.72255407,134073233.13611795,0.0,19227939.878136524,1357058398.516068,1295673549.9737089,20392811.859456,40992036.68290323,4432946278.179752,0.0,1474205030.7734495,37693493.26506455,45908930.581602569,1023318730.1858661,3503293427.5552256 
 09/27  02:00:00,2611240448.5260598,0.0,842898915.6282598,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,207636906.8054014,134073233.13611795,0.0,18964659.001038739,1409922537.6278222,1325300426.916632,20392811.859456,64229298.85173407,4166075430.2024238,0.0,1436389426.2316986,37694376.137595038,45477059.51632099,1046873251.3119736,3271096894.3890516 
 09/27  03:00:00,2603866982.652096,0.0,835905121.4922013,410683362.9955632,74984400.0,407926009.7788609,117333098.90109866,396739862.2797197,207333756.86716099,134073233.13611795,0.0,18888137.201373225,1395664795.3285495,1343120980.241415,20392811.859456,32151003.227678226,4128345685.3984935,0.0,1407784038.042345,37693813.57412201,45110486.55979012,1061312010.0109198,3243030790.2725527 
 09/27  04:00:00,3121136107.941061,0.0,862517401.2791964,767444968.8145875,74984400.0,536289837.963264,117333098.90109866,396739862.2797197,209966941.20745216,134073233.13611795,0.0,21786364.359624085,1339835204.7572542,1255213310.5697993,20392811.859456,64229082.3279991,4390507781.341147,0.0,1490528950.1302202,37694393.44961137,54873278.93103307,999791228.3398938,3478280534.187687 
 09/27  05:00:00,3151976816.702747,0.0,883148899.4132437,767444968.8145875,74984400.0,539619837.963264,117333098.90109866,399116045.9562696,214344817.91484813,134073233.13611794,0.0,21911514.603317,1756751244.0156065,1673617445.383409,50982029.64864,32151768.983557647,4621745347.843077,12412310.571512472,1293379465.2735196,37694440.239344257,55713280.04977327,1314789865.4911884,3682871909.29206 
 09/27  06:00:00,4180300814.4411594,0.0,889502751.257914,1244511737.5216106,56238300.0,1089404771.5169283,117333098.90109866,413787673.45411178,213571201.96374727,134073233.13611794,0.0,21878046.689631866,1444875542.406908,1278675567.210622,101964059.29728,64235915.89900583,4738668972.454947,0.0,1733407621.5531939,37693800.3968149,57520751.46942499,1034337560.8903738,3796682924.227667 
