Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 03/12  17:00:00,197695326.78953428,0.0,0.0,85725350.6868,0.0,105272514.0,0.0,0.017411627293736407,6697462.085322617,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,2942850.6529131096,18696034.356914525,0.0,0.0 
 03/12  18:00:00,210246805.46393753,0.0,0.0,85725350.6868,12622800.0,105272514.0,0.0,0.017482501497331168,6626140.759655007,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,2942850.7057211936,18674843.92767342,0.0,0.0 
 03/12  19:00:00,236182064.16970379,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.017454778650400558,7315799.465448978,21919942.965939285,0.0,11540448.000000002,10379494.965939282,0.0,0.0,2942850.6503264766,21870222.36224333,0.0,0.0 
 03/12  20:00:00,236055289.39414508,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.01744170840821265,7189024.689903352,11612448.000000002,0.0,11540448.000000002,72000.0,0.0,0.0,2942850.7081096915,21499654.70344452,0.0,0.0 
 03/12  21:00:00,240262884.64524586,0.0,0.0,85725350.6868,37868400.0,105272514.0,4675941.73645221,21622.02940375771,6699056.192589859,37713152.48279946,15793459.938636497,11540448.000000002,10379244.544162967,5111838.104709051,34318962.854385469,2942850.680446824,19421682.207706024,12407370.278010469,0.0 
 03/12  22:00:00,241219371.45592276,0.0,0.0,85725350.6868,37868400.0,105272514.0,6234588.98193628,55131.99094966025,6063385.796236825,52048393.61263546,40435945.61263546,11540448.000000002,72000.0,14092385.357426892,34845445.502433408,2942850.711198923,16713539.209204978,30528565.21887538,0.0 
 03/12  23:00:00,249898521.97855646,0.0,0.0,85725350.6868,37868400.0,105272514.0,12254287.696379163,104281.40087560666,8673688.194501682,154450668.89034558,132530445.08891545,11540448.000000002,10379775.80143014,30917582.129730598,30709184.049335984,2942850.696102726,19582969.922454716,100498636.7243541,0.0 
 03/12  24:00:00,248643332.6011114,0.0,0.0,85725350.6868,37868400.0,105272514.0,13669674.763534302,120819.49041178232,5986573.660365313,195169296.17658744,183556848.17658744,11540448.000000002,72000.0,43181673.10404643,20225460.47923515,2942850.711457482,16357063.731762222,136319617.07561586,0.0 
 03/13  01:00:00,248758557.43121166,0.0,0.0,85725350.6868,37868400.0,105272514.0,13741304.85269877,169340.13115837685,5981647.760554481,218501816.33224649,196574919.0182332,11540448.000000002,10386449.314013247,52955970.491683248,14524371.638745258,4898673.271129747,16265683.931371943,148067896.74638719,0.0 
 03/13  02:00:00,251607813.49984259,0.0,0.0,85725350.6868,37868400.0,105272514.0,16546168.76245051,198506.78563801797,5996873.264954042,253954759.95447118,232027835.71331898,11540448.000000002,10386476.241152179,59741465.04049009,17682250.174228174,4898673.405131566,16236150.516807326,171885640.05894033,0.0 
 03/13  03:00:00,251305778.04213039,0.0,0.0,85725350.6868,37868400.0,105272514.0,16206871.137484089,234068.23039866019,5998573.98744763,247844423.19776429,236231975.19776429,11540448.000000002,72000.0,71353534.53039196,15248045.018994075,4898673.225205983,16192531.734247815,179815358.57883696,0.0 
 03/13  04:00:00,252837205.01289837,0.0,0.0,85725350.6868,37868400.0,105272514.0,16957096.476581396,255212.47267103336,6758631.376845925,290145155.18649199,268218807.31319476,11540448.000000002,10385899.873297243,82432475.59645805,15278772.464086868,4898673.405482093,19419168.508170096,197567637.52939395,0.0 
 03/13  05:00:00,252333096.58686186,0.0,0.0,85725350.6868,37868400.0,105272514.0,16480822.946904682,284325.4333050889,6701683.519852054,289969912.85624018,268042999.14061428,11540448.000000002,10386465.7156259,93055577.94262347,14412957.325122923,4898673.399517627,19163337.73900156,203603855.74182148,0.0 
 03/13  06:00:00,276343569.9863515,0.0,25172.005051889486,85725350.6868,37868400.0,107346114.0,29590908.098184989,9367467.045747377,6420158.150567224,2387702861.456654,2376090413.456654,11540448.000000002,72000.0,885677269.7903943,30969099.38110123,4898673.398620929,18035779.834413269,1681506478.855892,191629.61292038987 
 03/13  07:00:00,588602650.4219347,0.0,7440.617369801896,435154064.4,6311400.0,107346114.0,29590908.098184989,3191972.405659742,7000750.900720196,1636575249.421318,1604302070.488428,11540448.000000002,20732730.93288996,411037905.16200128,40376019.52790653,9797343.48110422,18276329.16578867,1247183184.8743683,60958.74192977334 
 03/13  08:00:00,744120916.8882374,0.0,26698.6734398345,435154064.4,0.0,270330255.0,29590908.098184989,1865493.6567422944,7153497.059870249,1287454447.97485,1159195062.8130069,86553360.0,41706025.16184312,74852117.60547352,82170731.68016847,33310909.800775879,19164947.10773132,877625486.6910547,209958.50720238238 
 03/13  09:00:00,744055913.3658292,0.0,11621.498945039317,435154064.4,0.0,270330255.0,29590908.098184989,1700255.0200116786,7268809.348687564,1225168783.6766623,1065067352.9011209,86553360.0,73548070.77554123,50103162.07745868,136624992.881748,58784079.01559369,19847567.014798546,802433353.5605521,90395.17132981903 
 03/13  10:00:00,758392659.5003756,0.0,6865.631442020538,435154064.4,0.0,284728041.0,29590908.098184989,1608087.706133151,7304692.664615425,1180936433.744686,991902224.5634239,115404480.0,73629729.18126203,28101050.997144537,172077916.64487414,61723268.22997195,20049801.429242616,748135726.4606092,52953.4150267677 
 03/13  11:00:00,760998295.5831242,0.0,0.0,435154064.4,0.0,284728041.0,29590908.098184989,1448208.059517124,10077074.025422054,1059499452.784677,849169386.4249969,115404480.0,94925586.35968013,8856713.24923712,231398915.36798508,70540828.23776135,23436988.900713,645720738.4515257,0.0 
 03/13  12:00:00,758200853.8661746,0.0,0.0,435154064.4,0.0,284728041.0,29590908.098184989,1345871.3288572194,7381969.039132437,1017178416.9280773,806631975.9289129,115404480.0,95141960.99916454,7535460.00896351,250731423.85798676,77398880.19398466,20250701.908532397,610661297.1538637,0.0 
 03/13  13:00:00,743819605.3713827,0.0,0.0,435154064.4,0.0,270330255.0,29590908.098184989,1271045.2277013239,7473332.645496467,989168467.6227316,825628019.1017816,57702240.0,105838208.52094978,6555399.663111985,221725700.32386608,81317602.72623804,20735604.368758795,627877054.382284,0.0 
 03/13  14:00:00,743779591.2639611,0.0,0.0,435154064.4,0.0,270330255.0,29590908.098184989,1218109.521873797,7486254.243902268,936872332.3565347,805597333.4711866,57702240.0,73572758.8853482,5810478.326128452,231040176.89105276,59763813.53531414,20767195.085090944,611053284.6972017,0.0 
 03/13  15:00:00,736402567.2126522,0.0,0.0,435154064.4,0.0,263131362.0,29590908.098184989,1098809.3040309102,7427423.410436277,845179379.1907944,759965317.4993597,11540448.000000002,73673613.69143477,11583677.983093238,244815734.4587741,63682747.05435585,20282464.24805627,579958853.7238715,0.0 
 03/13  16:00:00,735968567.3827052,0.0,0.0,435154064.4,0.0,263131362.0,29590908.098184989,1064611.807749861,7027621.076770358,769435226.3252151,737161905.5548413,11540448.000000002,20732872.77037374,11094385.52054528,225432283.35918356,9797343.572321129,17793481.82646975,562580918.3382921,0.0 
 03/13  17:00:00,580274725.3182925,0.0,0.0,435154064.4,0.0,107346114.0,29590908.098184989,1175552.1622873808,7008086.657820261,849275106.1473495,827332288.6543323,11540448.000000002,10402369.493017393,18050220.22163485,138116623.4093399,9797342.159000174,17617133.771589549,638401422.2937155,0.0 
 03/13  18:00:00,592920520.6332332,0.0,0.0,435154064.4,12622800.0,107346114.0,29590908.098184989,1190313.471960273,7016320.6630879,891484593.6564664,859152560.2638378,11540448.000000002,20791585.392628537,24939179.00281827,122059622.67142397,18614926.953733487,17621250.905692929,651448414.7202135,0.0 
 03/13  19:00:00,618982870.8500973,0.0,0.0,435154064.4,37868400.0,107346114.0,29590908.098184989,1233710.1990916683,7789674.152820576,930782940.3697443,888029095.9283335,11540448.000000002,31213396.441410848,32754982.3038953,108947410.14565039,24493349.50173602,20926199.78202091,671903639.2200464,0.0 
 03/13  20:00:00,618988948.8140174,0.0,0.0,435154064.4,37868400.0,107346114.0,29590908.098184989,1310033.9405391948,7719428.375293189,972741112.5402911,930019235.3238152,11540448.000000002,31181429.216475786,38975296.93490765,98208885.88891667,21554132.258150154,20655379.174698377,700775461.7352209,0.0 
 03/13  21:00:00,235390993.86535976,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.12802048562330468,6524729.050539277,42725071.233664277,0.0,11540448.000000002,31184623.233664276,0.0,0.0,21554132.76028374,18262323.05591495,0.0,0.0 
 03/13  22:00:00,234933806.33223398,0.0,0.0,85725350.6868,37868400.0,105272514.0,0.0,0.06980476419013614,6067541.575629159,21948765.661692524,0.0,11540448.000000002,10408317.66169252,0.0,0.0,11756803.699528842,16510977.512302276,0.0,0.0 
 03/13  23:00:00,242384460.87703584,0.0,0.0,85725350.6868,37868400.0,105272514.0,4675941.73645221,32499.134515132937,8809755.319268464,37877527.73276426,15938720.401156288,11540448.000000002,10398359.33160797,9446045.593586281,31829589.40596494,8817607.439120798,20188838.21338705,18098889.230792099,0.0 
 03/13  24:00:00,241191258.87523414,0.0,0.0,85725350.6868,37868400.0,105272514.0,6234588.98193628,61175.78896718331,6029229.417530652,53812131.87717691,31885376.236842026,11540448.000000002,10386307.640334886,19880616.127615319,38158454.79997794,4898673.285431642,16688486.191635794,31411545.923125954,0.0 
 03/14  01:00:00,247196154.86120738,0.0,0.0,85725350.6868,37868400.0,105272514.0,12195658.64177084,120367.77623808742,6013863.756398401,139923289.88530887,117996559.79594295,11540448.000000002,10386282.089365928,33991368.571587737,31286648.26382463,4892387.2064868309,16648067.553395104,102875264.66081232,0.0 
 03/14  02:00:00,250308576.7947617,0.0,0.0,85725350.6868,37868400.0,105272514.0,15235300.93589219,206376.7314699782,6000634.440599529,229910261.1187253,207983463.55588497,11540448.000000002,10386349.562840332,57821520.76945543,22146253.506744557,4892387.349651339,16568070.353686313,165367232.3770273,0.0 
 03/14  03:00:00,253123071.08389143,0.0,0.0,85725350.6868,37868400.0,105272514.0,17967840.103224286,306539.4214497927,5982426.872417286,319515636.7227501,307903188.7227501,11540448.000000002,72000.0,99941063.41397287,16949027.05909679,4892387.349697912,16459262.410553398,238864415.56924407,0.0 
 03/14  04:00:00,254674293.6947728,0.0,0.0,85725350.6868,37868400.0,105272514.0,15607055.224972092,404557.3674630395,9796416.415537635,365328179.69118967,343401431.9701642,11540448.000000002,10386299.721025443,123983564.6385366,15652372.62708188,4892387.3518357039,32708556.23907794,242695608.82428689,0.0 
 03/14  05:00:00,256500480.76010556,0.0,0.0,85725350.6868,37868400.0,105272514.0,17967840.103224286,515359.9987038134,9151015.971377437,436871712.7834259,414944830.8894448,11540448.000000002,10386433.893981087,167123984.72033737,14622631.334386595,4892387.354395793,29915936.84803983,310923642.9524295,0.0 
 03/14  06:00:00,279640705.23775956,0.0,22098.396253845378,85725350.6868,37868400.0,107346114.0,29590908.098184989,11469147.765528592,7618686.290992074,2610833490.094045,2599221042.094045,11540448.000000002,72000.0,940146928.4745368,33452039.368092188,4892387.344312441,23243999.768983999,1867972803.078803,185610.094338757 
 03/14  07:00:00,589253205.765239,0.0,6663.2263250084429,435154064.4,6311400.0,107346114.0,29590908.098184989,3870407.8122667337,6973648.228462361,1788064091.198706,1755790911.7119604,11540448.000000002,20732731.486745404,446948331.61998036,41573614.92246923,9784771.555317233,18120026.994397548,1364605549.936736,58900.29787421219 
 03/14  08:00:00,744170896.8343217,0.0,42712.784122662924,435154064.4,0.0,270330255.0,29590908.098184989,1877770.9895758879,7175185.5624381429,1246526284.5432463,1118267418.357112,86553360.0,41705506.18613429,59238563.3238399,91430220.17364523,33268166.082815388,19229189.480099515,855516373.435641,339957.0226100099 
 03/14  09:00:00,743687066.69234,0.0,14406.741405396398,435154064.4,0.0,270330255.0,29590908.098184989,1185607.233362034,7411825.219387475,972691900.3002493,812592544.1242697,86553360.0,73545996.17597963,19790880.557560855,188928785.27277587,58708646.534302849,20186039.118293033,618258454.7006202,105927.5152713223 
 03/14  10:00:00,757843213.9284173,0.0,16865.085288984374,435154064.4,0.0,284728041.0,29590908.098184989,816733.9372783355,7536601.407665113,811903047.4950929,622871551.4464595,115404480.0,73627016.04863338,1770812.4209646744,243421746.79692877,61644068.31533647,20506618.702249607,476942455.8801006,117345.14819267064 
 03/14  11:00:00,760374768.8166264,0.0,0.0,435154064.4,0.0,284728041.0,29603621.262402029,650759.0331908047,10238283.121033632,689295357.2656431,478969697.7090403,115404480.0,94921179.55660296,0.0,325475317.6934155,70450316.8382367,23895119.66466126,364884610.7037325,0.0 
 03/14  12:00:00,758977365.8186128,0.0,0.0,435154064.4,0.0,284728041.0,30903770.1103377,553040.5204671196,7638449.787807867,623982515.9877795,413441747.2099115,115404480.0,95136288.77786792,0.0,378050920.55211189,77299490.45266882,20612453.616925677,316715063.06080517,0.0 
 03/14  13:00:00,744978906.8812938,0.0,0.0,435154064.4,0.0,270330255.0,31338343.28614863,369363.214188377,7786880.980956732,520038430.5324713,356490756.79279348,57702240.0,105845433.73967782,0.0,360840973.01177808,81213357.6608041,21155808.001447657,277545861.8620018,0.0 
 03/14  14:00:00,745060685.5240996,0.0,0.0,435154064.4,0.0,270330255.0,31402355.838733064,398586.88039519698,7775423.404971283,511739036.40643337,380469209.06808879,57702240.0,73567587.33834449,0.0,371660405.8007599,59687124.12272939,21158609.51064506,288329979.2932715,0.0 
 03/14  15:00:00,737951609.2636629,0.0,0.0,435154064.4,0.0,263131362.0,31542780.392293715,482304.5721826915,7641097.899186606,523343051.85316547,438135087.0039575,11540448.000000002,73667516.8492079,0.0,372454018.0945337,63601029.06666921,20518901.97213832,330705869.0583497,0.0 
 03/14  16:00:00,735453481.4952909,0.0,0.0,435154064.4,0.0,263131362.0,29590908.098184989,356811.8246015023,7220335.172504307,381602702.49847838,349328306.0860677,11540448.000000002,20733948.41241069,0.0,334082597.6232039,9784774.315331972,17872640.240846348,270034743.1222987,0.0 
